phases,average probability Tc>300K
Fe Sm Yb,0.7116158300333333
Fe Sm Pa,0.7116094728666666
Fe Ge Y,0.7115384139000002
Fe Mo Pt,0.7115346975333332
Fe Lu W,0.7115331791333336
N Fe Xe,0.7115079363333335
Fe Y Tc,0.7114583982666667
Fe Gd W,0.711453402333334
Fe Mo Ac,0.7114108971666667
C Fe Ta,0.7114081660666668
Fe Nb Lu,0.7113899821333337
Fe Ni Ga,0.7113546352333334
Fe Zr Re,0.7113508907
Fe Zr Hf,0.7113158175666663
Fe Y Pu,0.7112735412666666
Fe Nb Ta,0.7111372341666669
Fe Zr Nb,0.7110726713333339
Fe Nb Pr,0.7110687957666667
N Fe Ce,0.7110682065000006
Ti Fe Ge,0.7110248881333333
Fe Xe Sm,0.7110204408
Fe Nd Pb,0.7110098118000001
Fe Nb Gd,0.7109781327333334
Fe Tm W,0.710974226
Fe Ba Sm,0.7109610933333335
Fe Ga Th,0.710950809633334
Fe Y Pm,0.7109491309999999
V Fe W,0.7109412432666671
Ti Fe Yb,0.7109072198666666
Fe Lu Re,0.7108896639333337
Fe Dy Th,0.7108859351
Fe Pr W,0.7108685084666667
Fe Ni Dy,0.7108284162333331
Fe Mo Os,0.7108250351000002
Fe Sr Sm,0.7108048981999999
Fe Lu Hf,0.7107895994666668
Fe Gd Re,0.7107601422999997
Cr Fe W,0.7107050940666666
Ti Fe Ac,0.7107041836666667
C Fe Pr,0.7106789612666664
Ti Fe Sr,0.7106757170999995
Fe Tb W,0.7106561052666659
Fe Gd Hf,0.7106433955666664
Fe Tm Re,0.7105765733333336
Fe Y Hg,0.7105608471666665
V Fe Nb,0.7105513331999999
Fe Kr Mo,0.7105355629666664
N Fe Ac,0.7105236749666668
N Fe Pt,0.7105082879000001
Fe Y Np,0.7105052649666668
Fe Er Th,0.7105021582666666
Fe Nd Pu,0.7104920425333335
C Fe Gd,0.7104429377000002
Fe Nb Tm,0.7103846838666665
Fe Sr Y,0.7103750099333334
Fe Pr Re,0.7103680571333336
Fe Sm Ac,0.7103561133333333
Fe Ho W,0.7103434549000003
Fe Y Pa,0.7103279728
C Fe Zr,0.7103252186333332
Fe Ni Er,0.7103132243999996
C Fe Tm,0.7102828929666669
C Cr Fe,0.7102058391666667
Fe Nd Pm,0.7101603992000004
Fe Tm Hf,0.7101555142666667
Fe Co Ag,0.7101516369666663
Fe Y Xe,0.7101297564666668
V Fe Hf,0.7101231142000001
V Fe Re,0.7100822177999998
Fe Nd Hg,0.7100560183333336
Fe Sm Pt,0.7100151292666662
Fe Y Yb,0.7100091576666671
