phases,av. probability
Cr Ni Cu,0.18295986865672334
Al Mn Au,0.18297158657266668
Fe Rh Pt,0.18297518375023333
Ni Pd Sm,0.18298211168376669
Ni Rh Sm,0.18298542545600008
V Ni Zn,0.18300080508700006
B Pd Pt,0.1830240623266334
Al Pd Au,0.18303579696666664
Ni Ga Au,0.18303744905709998
V Fe Co,0.18305301949523323
B Ni Ge,0.1830559851488001
Ti Fe Rh,0.18306251532599338
B Si Ni,0.1830785983900667
Al V Pd,0.18308568351358673
Ni Rh Tm,0.18309812334683334
Al V Rh,0.18310229996166683
Ni Pd Lu,0.1831062369150668
Co Ni In,0.18312685535066678
Ni Ru Pd,0.18313235591019997
Ni Rh W,0.18315136113360006
Co Ni Ru,0.18316403298473333
V Co Rh,0.18317128521816672
Ni Rh Ta,0.18319277130259995
Ni Ga Pt,0.18320246333756673
Mn Ni Ho,0.18320550990066672
Ni Rh Tb,0.18322924710000008
B Al Cu,0.18323004763948
B Pd Au,0.18325387419590006
Al Rh Pt,0.18326083168450008
Co Ni Tm,0.183272363538
Ni Y Rh,0.18329655681966664
Ti Ni Zn,0.1833013946953334
Ni Pd Ta,0.18330401235000013
Mn Ni Dy,0.1833068028369667
Al Mn Pt,0.18331457298746676
Co Ni Sm,0.1833208477773333
Ni Cu Ag,0.18332159461466668
Ni Zn Pt,0.18333256607433335
Al Ni Cd,0.1833813135026667
Ni Ge Pd,0.18338965990446682
Ni Zr Ir,0.183392692133
Mn Fe Co,0.18339629405984872
Ni Rh Lu,0.18341165261453346
Fe Ni Sn,0.18341365990973343
Fe Ni Nb,0.1834196922415
Mn Ni Y,0.18342756413749994
Co Ni Y,0.183432542793
Co Ni Tb,0.18345170632140012
Fe Co Cu,0.18349166895058858
Ni Cu In,0.18349352023626678
Ni Zn Au,0.18349367440533362
Al Fe Mo,0.1834954088050667
Co Pd Pt,0.18349606960833337
V Ni Mo,0.18351252354236658
Ni Ga Ir,0.1835146612585334
Mn Ni Sm,0.18353077731990003
B Co Mo,0.18353437032799996
Mn Ni Ge,0.18353622871583336
Fe Ni Re,0.18353770348766665
Fe Ni Cd,0.18354195336626658
B Fe Er,0.18354834303365009
V Ni Ga,0.18355073405266656
Ti Fe Pd,0.18355296659683334
Ni Mo Pt,0.1835547186231666
Ni Ge Rh,0.18357525980450012
Mn Ni Tb,0.18357778089430002
Ni Mo Au,0.18357869757643344
B Fe Ru,0.18359375587499993
Mn Ni Tm,0.18360042458093337
Co Ni Ta,0.18361545989666664
Al Cu Pt,0.1836267820724667
Co Ni W,0.1836318907365001
Al Pd Pt,0.18364384116916668
Ni Cu Ho,0.18364737508017998
Al Co Zr,0.18365754313466673
Ni Cu Hf,0.1837000496370134
C Ni Au,0.18370600219866673
Al Ni Pr,0.18371394905533342
Mn Ni W,0.18372712761423332
Fe Co Pt,0.18374201234843335
Al Ni Ge,0.1837437625284
Mn Ni Hf,0.18374949463126675
Co Pd Ir,0.18375475821433332
Fe Ni Gd,0.18375844781356662
Mn Co Cu,0.18375971194894009
Co Pd Au,0.18376188900746676
Ni Pd Nd,0.18378468492066669
Ti Co Pd,0.18379265383630009
B Ti Rh,0.18379383484533332
Mn Fe Cu,0.1838008950812787
Al V Mn,0.18380228870466664
Fe Rh Au,0.18380476375626673
Mn Ni Ta,0.18381089174466667
Ni Cu Tb,0.1838253193380333
B Rh Au,0.18382543720200015
Al Si Ni,0.18382895902210003
Fe Co Ir,0.18384639806367337
Co Ni Lu,0.18388067775826672
Co Ni Nb,0.18390625457419996
Ni Cu Sm,0.18390878996294013
Co Ni Nd,0.18391555350800015
Al Ti Pd,0.18393012421639995
Ni Cu Dy,0.18393803404049996
Fe Ni Os,0.1839428554344
Ti Ni Ga,0.18395133857149998
B Fe Zn,0.18395572465116677
Al Cu Au,0.18396362434966682
Fe Co Au,0.18396997702853338
Al Fe Er,0.18397295174496672
Cr Ni Pt,0.1839734134732334
Ni Y Pd,0.18397719129380014
Ni Cu Tm,0.18400417157503335
B Sc Ni,0.18401156710433328
C V Ni,0.18403395927700014
Al Mn Ir,0.18404392026379998
Ti Ni Zr,0.18404891081653332
Ni Pd Re,0.18405061435199996
V Ni Ag,0.18406949241566667
B Ni Tc,0.18407212621766658
Si Ni Rh,0.1840737498432666
Al Sc Ni,0.18407449736899997
V Cu Rh,0.1840753050982333
Ni Rh Nd,0.18407659140823338
Ni Pd Sn,0.1840807450903334
Ti Fe Co,0.18408128048078343
V Fe Cu,0.18408583502916664
C Ti Ni,0.1841116599252
Al Rh Au,0.1841153794229999
Ti Cr Ni,0.1841380012092334
Fe Pd Pt,0.18414002154006667
Al Ni Tc,0.18414414525633338
V Ni Ru,0.18414898679933328
Mn Ni Lu,0.18415873006330005
Al Fe Ru,0.18417027381233347
Cr Ni Au,0.18418655936566666
Ni Rh Re,0.1842146485466667
B Ni Pr,0.1842218554253334
B Ni U,0.18422404063863332
Ni Cu Nb,0.1842458557592467
B Mn Pt,0.18424760954289998
Fe Ni Pr,0.18425256572503337
B Mn Ir,0.1842561765623668
Al Fe Yb,0.18426542849899993
B Cr Fe,0.18429429860851682
Ti Ni Ru,0.18430476796800008
B Al Pt,0.18430598913308655
B Zr Pd,0.18431531159320008
Si Mn Ni,0.18432835925033333
Mn Ni Nd,0.18435478227543337
B Zr Rh,0.1843582607483334
B Fe Yb,0.18436614393230005
Ni Pd Cd,0.18436912310210013
B Ni Tl,0.18436978484550004
B Cu Pt,0.18436988239460003
Si Co Ni,0.18439719156249998
Ni Zn Ir,0.1843980392396668
Al Ni Sn,0.18440096884086682
