,phases,rankings
411,Ca Mo O Rb      ,8.484860665432112
356,Ga O Rb V       ,8.48414734932097
252,Ba Mg Mo O      ,8.732047850391995
528,Cs K Mn O       ,7.114175022303145
287,Fe Ga Li O      ,8.669881192570454
127,Al Mn Na O      ,8.276543124191381
374,Cr Ge O Rb      ,8.011800885379321
518,Ba Cs O Ru      ,6.434664943199681
343,Ga Ni O Rb      ,7.784089626733976
237,Mn Na O Sr      ,8.02700003876798
91,Ca Mg O Ru      ,6.76896480663894
502,Cr Cs O Sr      ,6.839565376120778
303,Fe In Li O      ,8.497322314630663
433,Cs Ga O V       ,6.941988671719034
9,In Ni O Si      ,9.545261332287799
424,Ca Co O Rb      ,6.81079195666263
70,Cr In Mg O      ,6.91246579675124
415,Mn O Rb Sr      ,9.345871910932917
527,Cs Fe Li O      ,8.190623750538514
41,Mg O Ru Si      ,10.438853450065963
108,Al Ni O Sr      ,9.146351527831726
198,In Mo O Sr      ,8.8886890790793
358,Ga Mn O Rb      ,7.500396186465853
457,Fe In O Rb      ,7.23008059009166
263,Cr Na O Sr      ,7.170603821544825
12,Ga Ge Mn O      ,8.63441511254513
483,Ca Cs Mo O      ,8.142819981172329
165,Al O Ru Sr      ,9.76753706340161
336,Ba Bi Cr O      ,5.897224107416924
400,Co Ge O Rb      ,8.631308412380841
116,Ge O Sr V       ,10.139957099553623
5,Al Mg Ni O      ,8.182278080846068
16,Al Ge Mn O      ,9.482660637013943
381,Cr Ga O Rb      ,6.845584461050227
342,Co K Mg O       ,7.645766693292885
461,Cr Cs O Si      ,8.631093076967295
3,Ge In Ni O      ,8.478045841207807
144,Mg Mn O Sr      ,8.072695076960425
7,Ga Ge O V       ,8.338796369131114
143,Ga Li O Ru      ,8.001454352293482
20,Ge In Mn O      ,8.787996900335338
489,Cs Mn O Sr      ,7.741738702165136
481,Co Cs Mg O      ,7.299091014416477
395,Fe K Mg O       ,7.518085457482505
149,Li O Ru Si      ,11.263327585654169
187,Bi Cr Ge O      ,8.056676539027112
62,Ca Ge O V       ,8.082291832684973
69,Al Ga Mo O      ,9.70415292504793
428,Bi O Rb Ru      ,7.917217363186007
24,Ge Mg O Ru      ,8.54377045240446
320,Cr K Mg O       ,6.938819557071319
347,Al Ni O Rb      ,8.715490791576425
523,Ca Cs Fe O      ,5.822681354124805
531,Bi Cs Fe O      ,5.540964093471199
227,Co In Li O      ,8.610495101965803
373,O Rb Ru Si      ,15.355363099394426
280,Ba Co Mg O      ,7.303501975263012
171,Ca Co Mg O      ,7.090091482441569
215,Co Ga Li O      ,8.78083021561992
505,Cs Mo O Sr      ,8.937758069426307
491,K O Rb V        ,8.631805331304871
308,K Mg O Ru       ,7.249708628849692
313,Bi Fe Ge O      ,8.401574039799765
318,Bi Co Na O      ,6.3295376388822415
132,Ca In Mo O      ,8.41216003457036
11,Ge O Si V       ,11.91921355013995
218,Fe Ga O Si      ,9.520950499579637
46,Ca Mg Ni O      ,6.882576737975397
192,Cr In O Sr      ,7.183010495009871
231,Al Fe In O      ,8.487587278628574
72,Cr In O Si      ,8.905714622671477
86,Ca In Mn O      ,7.074726887339224
