phases,av. probability,norm. score
Co Lu Pr,0.6463533116333336,0.0405249348225363
Co Lu Zr,0.6459882822333336,0.0427187738605068
Co Mo Tb,0.6459531741333332,0.075750068249837
Ac Co Nd,0.6459329331333332,0.0964645732192987
Ac Co Cr,0.6458323888666666,0.0998925096796916
Ac B Co,0.6458033095333336,0.1291288275366085
Co Pm Pr,0.6457946490000005,0.06046317581264
Co Cr Tc,0.6457845727333332,0.070340751169129
Ba Co Mn,0.6457803724333327,0.1731870730799117
Co Sm Tb,0.6457241897666661,0.0489626894640987
Co V Zr,0.6457123626999999,0.0685480924486331
Co Pr V,0.6455756530000001,0.0686664810939131
Co Pr Pu,0.6455671751000003,0.0823010367954514
Co Dy Zr,0.6454885979000002,0.0564153327049445
Co Np Pr,0.6452694059333336,0.0944320998124187
Co Pm Zr,0.6452016517,0.062457664028796
Co Pu Zr,0.6447952346666664,0.0841329289258827
Co Ho Sm,0.6447076266333337,0.0574324904289916
Co Pa Pr,0.6446810358333334,0.1000843957532429
Co Np Zr,0.6442809424666668,0.0961854451499104
Co Sm W,0.6442031044333341,0.0745192230995797
B Co Tc,0.6441262755999999,0.1024942249850107
Co Pa Zr,0.6441170031000001,0.1018028195202822
Co Sm Th,0.6440530737999997,0.0473633195049188
Ac Co Pr,0.6438682066333337,0.0943415484222522
Co Mo Th,0.6438090079000004,0.0743579324568366
Co Mn Rb,0.6437022701333333,0.1308300433292695
Co Gd Tm,0.6436982400999995,0.0453133823291898
Co Sm Ta,0.643620162266667,0.0514694368695871
Co Mo W,0.6434225579333337,0.0990351889936663
Ac Co Zr,0.6433467697333339,0.0960941844281138
Co Gd Hf,0.6432660748333333,0.045523871736144
Co Ga Hf,0.6432094548666664,0.1108306120309669
Co Mo Re,0.6431247361000004,0.0880419065222421
Co Ga Lu,0.6429288867000005,0.1071998239704212
Co Hg Ti,0.6427340831166668,0.0649150397363818
Co Gd Lu,0.6427036283333328,0.0408776103237294
Co Cr Re,0.6426581863666665,0.0683656900708117
Co Gd V,0.6426129869999999,0.0551422368653722
Co Cr Tb,0.6421851658999997,0.0552382074966668
Co Tc Zr,0.6420330317999993,0.066086035847425
Co Gd Pu,0.6417841802999998,0.0826472834130071
Co Mo Ta,0.6417668181666666,0.0780363994762919
Co Re Y,0.6416748174000004,0.0761084728482838
Co Gd Np,0.6416418986999999,0.0947770249359896
Co Ga Pm,0.6415409915000002,0.1230232309234503
Co Cr Ho,0.6413909993666668,0.0635105351104332
Co Gd Pa,0.6413777268333336,0.1004273853073865
Co Th Y,0.6413474478999994,0.0618180741568263
Co Gd Pm,0.6412970983999999,0.0588175994437361
Co Sm Yb,0.6412004904666662,0.0440337959753804
Co Ti Yb,0.641030267566667,0.0595233389376154
Co Hf Tm,0.6410253741333327,0.0409684096381669
Co Ga Pu,0.6409762462999995,0.1407985794786021
Co Mo Yb,0.6409173799333331,0.0713206130025785
Co Nd Tc,0.6407370470666667,0.0794372823249962
Co Os Ti,0.6407228001999999,0.0736822980169899
B Co W,0.64069532,0.1112405667525561
Co Cr Th,0.6406949710666662,0.0536267023839666
Co Hf Pu,0.6406125508666667,0.0826244044496756
Co Lu Tm,0.6405991927666667,0.0362422911375634
Ac Co Gd,0.6405365743333333,0.0946848114353784
Co Ga Np,0.6404167868666666,0.1508682340455495
Co Ga Pa,0.6404130413666669,0.1556151021596432
Co Cr W,0.6404070325000001,0.08016823225589
Co Hf Pa,0.6401343076333331,0.1003945157799419
Co Lu V,0.6400098276333333,0.0537813884502159
Co Hf Np,0.6399592042333333,0.0947473361539234
Co Pr Tc,0.6399169165666667,0.0743268625819741
Co Tm V,0.6399123620666666,0.0579735457066317
Co Cr Ta,0.639856655566667,0.0576292522446879
Co Nd Re,0.6398287067666669,0.0644534090757119
Co Pu Tm,0.6398225880000001,0.0786809143235115
B Co Re,0.6398222565333328,0.1007161921713129
Co Np Tm,0.6397526623999995,0.0909729703551225
Co Hf V,0.639742876266667,0.0582062140015711
Co Hf Pm,0.6396305627333341,0.0617995356181071
Co W Y,0.6395769115000006,0.0875269211295595
Co Hf Lu,0.6395671512000001,0.0414490259365104
Ac Co Ga,0.6393191952666671,0.1507982936905333
Ac Co Hf,0.639313488533333,0.0946547179921487
Co Dy Hf,0.6393076828333337,0.0441508695168222
Co Ta Y,0.6390011954333334,0.0656583267691174
Co Pa Tm,0.6388858385666668,0.0966936142059705
Co Hg Sm,0.6387995052199997,0.0498776621999082
Co Er Hf,0.6386872495333336,0.0446473081885819
Co Hg Mo,0.6386142166666667,0.0765569430226409
Bi Co Mn,0.6385650248000002,0.1136842987041265
Co Pm V,0.6385222134666668,0.0726411999706789
Co Pm Tm,0.6384504021999995,0.0615826728624212
Co Dy Lu,0.6383905266666668,0.0394919086475749
As Co Mn,0.6383453471000002,0.154730866939066
Co Np V,0.6383066729666664,0.1051827265614713
Co Lu Pu,0.6382608611333336,0.0791047044047372
Co Dy Tm,0.6381966765000006,0.043940368984084
Ac Co Tm,0.6380919074666671,0.0908794498580326
Ge Mn Ti,0.6380638607666664,0.3729289208802798
B Co Ta,0.6379986518666666,0.0911595054677736
Co Lu Pm,0.637910037833333,0.0574439450327905
Co Cr Yb,0.6378789768666663,0.050488990285096
Co Pu V,0.6378404880000006,0.0935214439132595
Co Os Sm,0.6378097326,0.0591978211220671
Co Lu Np,0.6377836301999996,0.0913817756489152
Co Pa V,0.6375717445333339,0.1106292824503892
Co Lu Pa,0.6375418360666668,0.097095664939883
Co Nd W,0.6374044296333331,0.0763983074964298
Co Tb Zr,0.6372763701333333,0.0506477691994515
Ac Co V,0.6371178552000004,0.1050937457990355
Co Dy Pu,0.6368869927999999,0.0814310746941741
Co Mn Pd,0.6368815209333336,0.1552722403021606
Co Mo Os,0.6368580518333337,0.0850383032395563
Co Nd Th,0.6368216540333334,0.049455089376724
Co Pm Pu,0.6368036611666672,0.0968620890922324
Co Np Pm,0.6367988291000001,0.108420372676496
Co Ho Nd,0.6367379286999999,0.0594342713390739
