#phases,average probability Tc>10K
phases,probability
N Na K,0.6773462293333334
N Al V,0.6773390943666668
Fe As Y,0.677229118833333
N Cr Nb,0.6772273339666662
Fe Nb Cs,0.6771796730999998
Mg V Nb,0.6771437514666667
Li N Sn,0.6767651688333334
Mg Nb Mo,0.6767523958999996
Fe Sr Nb,0.6767426723666673
N V Ba,0.676670758633333
N V Cu,0.6766633907333331
Fe As Sn,0.6765378671
Ga Nb Mo,0.6764862652666668
Li K Fe,0.6763920949799999
Fe As I,0.6761285445999998
Fe Ga Cs,0.6760246537000001
N Ca V,0.6759943417666664
Li N Cs,0.6756776986000006
N Cu Mo,0.6755900574666672
N Nb In,0.6755543756999998
N Fe Te,0.6755107347266662
C Mg V,0.6753758320666663
N Sc Nb,0.675354247866666
N V Rb,0.675343441266667
Fe Ga Ba,0.6752199977666674
Na Fe Ga,0.6751958855000003
C N Sn,0.6751556217333339
Li Fe Mo,0.6749713433200006
Fe Se Zr,0.6748442653666668
C V Mo,0.6748245704
N Mg Cr,0.6747594127666665
Fe Y Nb,0.6746694716666668
N F Fe,0.6746676730266663
N Cl Cu,0.6744340062999999
N Mg Sc,0.6743827297
N Mg Hg,0.6743123513000002
N Mg La,0.6742410372666664
Li N As,0.6742029958999995
V Ga Mo,0.6741052563666671
Fe Se Y,0.6740098955333333
C N Sr,0.6739802628999997
F Fe As,0.6739473223000002
N Br Mo,0.6738892867333333
Ca Fe Ga,0.6738164018999999
Li Mg Nb,0.6735095949999998
Ca Fe Mo,0.6734808039199999
B Mg Nb,0.6733826948333331
N Cl Cs,0.6730704755666672
N Fe Tl,0.6729875834666665
C Mg Mo,0.6729003456000003
Mg Mn Fe,0.6727402971
N Cl Y,0.6724675268333333
Fe Se I,0.6723106491000002
B N Nb,0.6722131423333331
H Fe Ga,0.6721351368333335
C V Nb,0.6721169705666672
Al V Nb,0.6719254495666671
Mg Fe Zr,0.6718384976333334
N Fe Ta,0.671692600623333
C Nb Sn,0.6716810272
O K Fe,0.67159295067
N Cl Ca,0.6714266341999998
H N Mo,0.6711182168666664
N As Mo,0.6705036711333335
N Fe Pb,0.6703994735566668
C Fe Ga,0.6701927247333336
K Fe Mo,0.6701490177533332
N Nb Pt,0.6701383467000008
O Fe Ba,0.6700633353966662
N Y Mo,0.670023367133333
F Mg Fe,0.669849500293333
Mg V Mo,0.6697099768333332
N Nb Eu,0.6695665615999996
N Rb Zr,0.6695239617000006
N V Sn,0.6694498436333333
C Na Fe,0.669442051733333
N Fe Hg,0.669434629533333
N Mo Cs,0.6693704395999998
Be N Nb,0.6692999409333332
Mg Fe Sr,0.6692662345500001
K Ca Fe,0.6692055562766663
Al V Fe,0.669073576966667
C N Mn,0.6690526417999998
N Fe Hf,0.6690262705100001
Li Mg V,0.6690217297666669
Mg Al Fe,0.6690078634000001
O Cu Ba,0.6689499186000003
O Fe Nb,0.6689175789399998
N Mo I,0.6688900593000002
N K Ba,0.6688647224666658
Li N Sr,0.6687913636000001
N Se Mo,0.6685888885333335
N Al Mo,0.668560285566666
N Zr Ba,0.6685033066000006
N Ga Cs,0.6684312579333335
N Fe Au,0.6683853166733329
N Mg Cd,0.6683377530333332
Li N Mn,0.6683040799333333
Li Ga Nb,0.6682033077333335
Si V Fe,0.6681991272333334
N Mg Eu,0.6681292704333327
V Fe Rb,0.6680960712166664
Cl V Fe,0.6680297509033338
N Ti Nb,0.6679997083333336
Fe Zn Nb,0.667868089766667
N F Mg,0.6677377976999999
O Fe Mo,0.6677210860366669
N Mg Si,0.6675219581333335
Mg Fe I,0.6674692077333338
Fe As Br,0.6674617382666665
Fe Mo Ba,0.6674582850199995
N Mg Bi,0.6674563273666674
Li Na Fe,0.6673340753066661
C N Ta,0.6672640420000006
N Sr Mo,0.6669461868333336
Fe Br Nb,0.6668512464666669
H V Fe,0.6668140911500001
N P Nb,0.6668118330000001
Al Fe As,0.6667864373999999
Fe Se Sn,0.6667294563999999
C N Zn,0.666607105866667
B Mg V,0.6665888714333331
N Ga Ba,0.6665320843999999
Fe Zn Se,0.6664593676333332
Mg Fe Sn,0.6664502257666668
N Nb Er,0.6664470175333335
N Cl Br,0.666361385466666
Fe As Tl,0.6661227662000001
H N V,0.6660547001999999
N Nb Rh,0.6659893147000003
N Ga Br,0.6659556695666666
Li N Se,0.6658874464666666
Li Fe Ba,0.6658858802
Fe As Te,0.6658678543333331
Fe Nb I,0.6657971497000004
H Ca Fe,0.6657550164933331
Fe Nb Au,0.6657157721666664
N K Rb,0.6655557491333329
N Sc Fe,0.6655327260333332
Fe Se Tl,0.6654972083333337
Fe Zn As,0.6654177551666666
K Ga Nb,0.6653792419999999
Cl Fe Ga,0.6652963040000004
H Li Fe,0.6652581226100002
