phases,average probability Tc>10K
C In N Na,0.775493157333333
Co Fe N Sm,0.7754728481000003
As Ba Fe Ru,0.775346656633333
Dy Fe O V,0.775266211033333
C Cu H N,0.7752155546999999
Ba C Cu O,0.7752120924333329
Fe Mn O Sr,0.7752045246333328
Ba Fe O Os,0.7751655849000005
C H N Rb,0.7751270161666667
Fe Ga O Pb,0.7750887513000002
C H N Sr,0.7750433637000006
C Cs H N,0.7750132191
Cr Cu Mg O,0.7749457441000002
B C N Na,0.7748684818666669
Ag C N Na,0.7748604002999994
C F Fe O,0.7747192051799997
Cu Fe Li Se,0.7745389376666667
Ce Co Fe N,0.7745374685666667
Al Cr Fe O,0.7745283359800003
F Fe Nb O,0.7744053670466665
Co Fe Mo O,0.7743965468000001
Cu H N O,0.774383636166667
Ca Cu O V,0.7743644423
Fe La Na O,0.7742493541466665
Ba Mg N Si,0.7742302885000005
B Fe K O,0.774106049666667
Ga H N Na,0.7740863431333334
C N Ta Zr,0.7740459278666679
B C N Y,0.773920068
Fe Na O Sn,0.7738936032466671
Cu Fe Na Se,0.7738318993333331
Al Er Fe O,0.7737568013666664
H I N Nb,0.7737266810000005
Ca Fe O Sb,0.7736647105
Cl N Nb P,0.7736477949000005
Al Eu Mg N,0.773621839366667
Cu Mg Mn O,0.7736095374333332
Fe Nd O Y,0.7734133489666666
C Ga N Si,0.7733171948333335
Fe Li O Te,0.7733114981533329
Ca Cu Li N,0.7732952741333339
B C Ca N,0.7732215996
Cr Fe O Rb,0.7731008667333341
Ba F Fe Se,0.7730675037666674
C Hf N Zr,0.7730317660999998
C H N Se,0.7729541260333334
Fe O Pr Se,0.7728383514333329
Cu Fe Ni O,0.7727880905999995
Al Bi Fe O,0.772783681433333
Bi Fe O Sr,0.7726941310333336
Er Fe Mn O,0.7726696405666661
Fe H O Sr,0.7726643194466664
Fe O Sm V,0.772655043433333
Fe Mn O Zn,0.7726408704000001
C Fe O Pb,0.7726296949333333
Cd Fe H O,0.7726270646833333
Al C Fe Mo,0.7726066550666669
Fe O Pb Se,0.7724743087000002
Ca N Nb Si,0.7724455609000006
Cl H N V,0.7723781262999994
C Cl Eu N,0.7722668221666672
Al Fe Nd O,0.7721585356333337
Ca Fe O W,0.7721563029000001
Ba Cu O V,0.7720725612999997
C H I N,0.7720057270000003
Cr Fe H O,0.7720012989333334
Co Fe N Nd,0.771961067333333
Fe Li Nd O,0.7719308439666664
Ba C N O,0.7719215990999997
Fe In O Y,0.7718736280999998
Al Eu Fe O,0.7718008345999999
Co Fe O V,0.7717898544333327
C Mo N Ni,0.7717210082000002
Fe K O Ta,0.7716830615333334
Cl Cs Fe Se,0.7716577234333332
As Ca Fe Pr,0.7715332956666672
Ba Fe O W,0.7715076540333333
C Hg N Rb,0.7714772683333337
H K Li N,0.7714098086999993
Br Fe O Te,0.7713827543666665
Fe O Pb V,0.7713488402666668
Fe H O Zr,0.7713389011666667
C Mn N Zn,0.7713198203333335
Fe Mg Ni O,0.7712025721666667
Au C N Rb,0.7711701490666666
C Cl N P,0.7711132037333328
Ba Cu Hg O,0.7710484037000004
Br Ca Cl N,0.7710358738666665
As Ba Fe P,0.771015837533333
C Li N Yb,0.7708702144000004
Ca Mg N Si,0.7708353324666665
Bi Fe O Zr,0.7708273134333333
Eu Fe H Mg,0.7708218051666668
H Li N Na,0.7707243058999991
Al Fe La Mg,0.7707071018000003
B Fe Mg Rh,0.7706997697000003
C Cl Co N,0.7706214210999999
Co Fe N Pr,0.770592154133333
Fe Na O Te,0.7705330506000001
Ba Mo N Sr,0.770508712233333
C H N Zn,0.7703445548000009
C Cl N Sb,0.7702103898666666
Cr Fe O Sr,0.770165423166666
H Li N Sn,0.7701540087333334
B Cu Mg O,0.7701193878000001
B Mg N Si,0.7700646752999998
Ba Fe O Sb,0.7699239590666667
H Mg N P,0.7698955356666665
Dy Fe O Y,0.7698908420000004
Fe La Mn O,0.7697701812999993
Al C H N,0.7696766532666667
B C Cs N,0.7695094372000002
B Fe N Nd,0.7694977905333333
C Fe O Ru,0.7694293019000003
Fe O Pr V,0.7694079705333333
Fe Ho Mo O,0.7692121497666667
Fe Rb Se Tl,0.7691715157999999
Eu Fe O Sr,0.7691293351533336
Ba Fe O Tb,0.7690629039666659
Fe O Sr Zr,0.7689964140666673
Cd Fe O Zn,0.7689659718999997
Ba Br Cl N,0.7689417855333338
Cu Fe Nb Te,0.7689315896000001
B C Cu N,0.7688946461999999
Fe H O Sn,0.768870295933333
C Hg N Se,0.7688084834000001
C K N Pd,0.7686684235000003
Cl Fe K Na,0.7686362788333331
Fe Ga O Tm,0.768538972333333
C Fe Ta V,0.7685064206666667
Cl Fe O Sr,0.7685016846666667
Fe O Sr Zn,0.7684835008000006
Br H Mo N,0.7683920328999999
C Cu K O,0.7683801936999998
Cr Fe O Zn,0.7680968688666664
Fe Ho O V,0.7680767129666675
Br Ga H N,0.7680625077000002
Cu Ga O V,0.7680001474666669
C Co K N,0.7678896079333335
Cl H N Zr,0.7678484790000005
B C N Rb,0.767846450533333
Cl Fe H O,0.7678144722666669
Cd Fe La O,0.7677727661
Cu Li N Sr,0.7677585861666668
Er Fe N Ti,0.767720666933333
Fe Nb O Ta,0.767720404366667
Fe Mn Nd O,0.7676824351333333
Al Fe O Sm,0.7676499802999998
Al Ca Li N,0.7676306196999999
Fe O Sr Tl,0.7673788040999998
Co Fe O Y,0.7673589651
Fe Li O Sm,0.7673222517000007
C Cr Fe Mo,0.7673201487666668
Cr Fe La O,0.7672767847333336
C N Ti V,0.7672750799333333
Ca Cu La O,0.7672585152666667
As Ga Mn N,0.7671792849333341
Fe H O Te,0.7671640381666661
Ca H Li N,0.7671613790333331
Ba Cu La O,0.7670412340000002
Fe Nb S Se,0.7669787064666659
Al N Nb Ti,0.7668345212000005
Fe Nb O Pb,0.7667599498333332
Fe O Sn Sr,0.7667447401000002
Fe La O Sr,0.7667438066133334
Cu Fe Se Sn,0.7667184975333334
Fe In Mn O,0.7666699921666669
C N Pt Rb,0.7665999558000001
As C Cr N,0.7665241970666667
C K N O,0.7665082712000004
As Ca Cu O,0.7664651651666672
C Fe Ge O,0.7664483796333336
Bi Fe La O,0.7663926360333333
Au C H N,0.7663804092666663
Fe O Si V,0.7662067357000004
C H Hg N,0.7661841303666661
Cl H N Na,0.7661421645666671
Fe Gd O V,0.7660357967666667
C Fe O Re,0.7660323386333333
As Fe O Ti,0.7660273192666668
C N Tl Zn,0.7659838098333331
C Fe O Os,0.7659721824833333
F H Mg N,0.7659676024666671
Cu Fe O Ti,0.7659482486999994
Cl Mo N P,0.7659283765666659
F Fe H O,0.7658506543000004
Fe Mo S Sn,0.7658377284000001
Ca Li Mn N,0.7656638292333331
Ca Mo N O,0.7656595609666668
Fe O Sc Y,0.7654749888333336
Co Fe Li O,0.7653216375000004
Cu Li Mg O,0.7652757100666662
Br H Li N,0.7652477842333334
Fe H V Zr,0.7652059894666666
C Fe O Si,0.7651668706666666
Fe O Sr Te,0.7651386986833331
Ca Fe O P,0.7650008130999999
Au C N Zn,0.7649913780333337
F Fe Na V,0.7647302800666663
B Fe Li O,0.7646713310000001
Ba Fe O P,0.7645370905666663
Cl Ga N P,0.7644468862000005
Fe Nd O Sr,0.7643343245999998
Ca Cl N Sr,0.7643309979333329
Ca Cu O Sr,0.7643257327
H K N Zr,0.7642924141666666
As Br Fe Hg,0.7642748875666662
Co Fe Na O,0.7642445983333335
Fe H V Y,0.7641832854999998
Fe N Nd Sm,0.7641126250333335
C Cr H N,0.7640710207333334
Dy Fe Mn O,0.7640550597333329
Ba Ga N O,0.764040162666667
Au C N Tl,0.7639979523
Cl Hf N Na,0.7639718918
C H In N,0.7638951751000004
Fe Mn O Ta,0.7638550719666666
B C Fe Mo,0.7638449387000001
Dy Fe Ga Se,0.7638274603666664
Cl Fe O Te,0.7636472431000004
Br Cl N Sr,0.7636044538666659
Al H Li N,0.7635897276333338
C Cu O Sr,0.7635586896000001
C Dy Fe Nb,0.7635465022000003
Ce Fe O Sr,0.7634913167333336
Cl H N Sn,0.763316994566667
Al Be Fe O,0.7632853662666671
C H N Pt,0.7632096942999993
H K N Sn,0.763189459466667
Al Fe Mg Si,0.7631400310666667
C Hg N O,0.7631115439333332
B Fe Nb Y,0.7631096372000002
H K N Na,0.7629728379666663
C N O Y,0.7629060347333332
As H Li N,0.7628887813333337
Cr Fe O Te,0.7628801511333337
C K N Ni,0.7628598711000006
Ca Fe O S,0.7628470453666668
Al Fe Lu O,0.7628398802333336
Fe Ga O Tb,0.7628383668666672
Bi Fe O Te,0.7628057686666666
Al As Fe La,0.7627637608666666
C N Si Y,0.7627153090000004
Eu Mg N Ta,0.7626292729333333
Mg N Si Sr,0.7625959029666664
C Fe O Sb,0.7625440933333327
Dy Fe N Ti,0.7625298660333332
F Fe O Sr,0.7624535709833341
Fe Ge K O,0.762416400533333
Mg N O Ta,0.7623752048000004
Ca Cl H N,0.7622373371333336
Fe Ga Nd Se,0.7622281596333332
C Cd H N,0.7622219126333329
Fe N Sm Ti,0.7621933839000005
Ca N Nb O,0.7621612836
Ba N Nb O,0.7621324878999999
Bi Fe Nd O,0.7621169232333331
Al Fe Mg Nd,0.7620795870000001
Ba C Co N,0.7619939193666667
Ag Fe La O,0.7619750746000004
B C H N,0.761971986633334
Ca Cu Nd O,0.7619258793000001
Ag C H N,0.7619170987999999
H Li N Rb,0.7619164746666672
Bi Cr Fe O,0.7618193710000001
C Cu Na O,0.7618174865333334
Al N Nb O,0.7617438674000003
Br H N V,0.761727314
C Li N O,0.7616994321999996
B Fe Ir Mg,0.7616902293333335
B Fe Mn O,0.7616418211666665
Ba Fe O S,0.7616300077333332
Cl Mo N S,0.761570987
