phases,average probability Tc>10K
Al Ca Fe H Mn O Si,0.8586653926000003
Al Ca Cr Fe O Si Ti V,0.8586356358999999
Al As Fe H O Sb Ti V,0.8586134444666665
Al Be Fe Mg O Sn Zn,0.8585746866666663
C Fe H N O Ru,0.8585090518333331
Ca Fe H Mg O P,0.858500095966667
Al Cu Fe H O Pb S Zn,0.8584877342333336
Fe Ga H N O P,0.8584171096666667
Al Cr Fe Mg Mn Ni O Si,0.8584162581333332
Be F Fe H Mg Mn O P,0.8583980237666666
Ca Fe H Mn Na O Si Ti,0.8583955941999994
C Cs Fe Mg N,0.8583706003000003
Ba Fe K Na Nb O Si Ti,0.8582758427999998
C Fe H N O Pr,0.8582668091000001
Bi C Fe H N O,0.8582505005666667
Al Fe H La Mg O Si,0.8580730730333332
Al Cr Fe H Mg O Si Ti,0.8580483006666663
Al Ca Fe H Na O P,0.8580365723333327
Cu Fe Nd O Sr Y,0.8579724455666671
Al Ca Fe Mg O,0.8579522800333335
Al Ba Fe H Mn O Pb,0.857911463166667
Ba Co Cu Fe O Y,0.8578765054666673
C Fe H N O Rh,0.8578100009
Fe H Mg O Rb Se,0.8578030047666668
C Cu H I N O Pb Y,0.8576965146333333
Cs Fe H K Na O P Zn,0.8576646684333336
Ba Ca Cl Fe H O Si Ti,0.8576162084666671
Al Fe Mg Mn O Si Ti,0.8576158261000006
As Ba Fe H O Sb,0.8574774965666662
C Cd Co Fe H N O,0.8574298718
Al Fe H Li Mg O Si,0.8574262827666669
C Er Fe H N O,0.857372932566667
As Bi Co Fe H Mg O,0.8573718995999997
Au C Fe H N O,0.8572869239999998
Al Fe H Mg O Si Zn,0.8572657411333334
Ca Fe H Na O V,0.8572627277000006
Ba Fe H K Na O Si Ti,0.8572256022333339
C Cl Fe H N O,0.8571729263333323
Ba Fe Hg O Sr Tl,0.857164466333334
C Eu Fe H N O,0.8571234590666662
C Fe H N O Tb,0.857111652433333
Al Fe Mg Na O Si,0.857068155333333
Al C Fe H Mg Na O,0.8570609439333331
Al Be Ca Fe H Mn O P,0.8569645271999998
Al Cs Fe H Mg O Si,0.8568861658333339
Al B Ca Fe Mg O Si,0.8568528862999997
Al As Fe H La O P,0.8567746441000005
Cd Fe H K Mg O,0.8566346381333335
Ba Ca Fe H O P,0.8564897504666671
C Fe H La N O S,0.8564658538000002
Al Cr Fe Mg Mn O Ti,0.8564572139000003
Al B Fe H Mg Na O Si,0.8562927488666664
Fe H Mo N Na O,0.856272820866667
F Fe H Mg Mn O P,0.8561162287666665
Fe K Mg Na O Si,0.8560765424333336
Al Ca F Fe H O Si Ti,0.8559649218333334
C Fe H N O Sb,0.8559343090333325
C Cu H Mo N O Si W,0.8559326291333333
C Fe H N O S W,0.8559282900333332
As Cu Fe H Ni O Sb,0.8558685004999999
Al Ca Fe H O Si Sr,0.8558128705166664
Ba Cu Fe La O,0.855746276366667
C Fe Hg N O S,0.8557332872666664
Ba Cl Fe H Mg O S Si,0.8557071032666662
C Fe H N O P,0.8556660115999999
C Cl Fe N O P,0.8556579643333335
B Fe H N O P V,0.8555985373666669
Bi C Fe H N O S,0.8555313055333331
