,phases,ranking
3044,Nb Y,7.671266
1763,Ho Ir Si,7.6148167
2794,As Co Fe Li,10.049302
35,Al Ba Cu O Sr Y,11.069818
2771,Al Ba Cu Eu O Ti,10.543669
2321,Ba Ca Cu F Fe O Tl,10.820808
347,B Hf Mg,8.789217
3880,C I O,10.075367
291,Ga Sb V,7.4824786
2264,B Ce Rh,8.170378
323,Ce Cu Eu O Ru Sn Sr,10.674748
93,H Nb Sn,9.375763
3526,Cu Ge Yb,8.1435175
25,Hf Nb Zr,6.918556
1522,C Cu Mg Ni,10.552388
3480,Fe Na Se,6.974309
3287,S Zr,7.2750974
2590,Be Mg,7.673243
3299,B Co,8.985218
116,Ba Cu O Se Y,8.519634
970,Cu La,8.347351
3784,Nb Ta Ti Zr,9.419875
3967,Fe Nd P,6.182104
33,Bi Ni Sb,8.659608
2209,Ir Si Y,7.5216546
1302,Mo S Zn,7.900925
12,Ba Cu O Y,8.582823
1883,Ba Co Ge,5.970728
2229,Cd Tl,8.143295
651,Ir Os Th,4.9879994
1951,B La Y,8.480167
2015,La Nb Se,6.6607065
60,Cu La Li O,8.503983
2808,Fe Li Se,6.313965
2895,B Os U,6.0450835
2427,Ir Nb O,8.401706
3225,Ge Nb Si,8.774024
3851,Br Cl Hf Li N,10.079289
2769,Ru Si Th,6.042625
1820,Ga Pb V,7.2797155
556,Ho Mo S Sn,6.939921
1033,C Ca Cu O Sr,10.271505
2592,As Ca Fe Sr,10.574284
366,Mo Se Tm,6.591015
4156,Mo,5.1144466
276,Mo U,4.4518056
172,Ce Cu Dy Gd O Ru Sr,8.321984
125,Al Pd Pt U,10.48232
4009,As Fe O Sm Te,11.292486
130,B Ir Lu Y,7.4765434
790,Os Ti,5.662192
1387,Co Pd Sb,9.139337
3910,Al Hf Ni,10.523598
1899,Cr Cu O Sr Tl,10.403244
2713,Ir Te,5.9388537
2131,Mn Ti,7.264598
2483,Co Mn U,6.5401263
3856,Bi Ca Cu O Sr Tl,11.204355
3363,Ga Hf Ni,9.956727
2263,Co Si V,7.693324
299,Fe Pd Te,9.30344
1892,F La O S Sb,10.649067
1871,Al Nb V,9.994543
3267,Cu Nb O Sm Sr,8.870356
782,Pd Pt Rh,9.93636
1023,Er Os Sn,4.725823
425,Bi Eu Sr,6.982311
2850,Er Fe Si,9.29991
2098,Au B C Dy Pt,7.3956385
2202,Co Pd Y,9.920902
3279,Au Ga Y,8.260569
2686,Au B Mg,8.190857
2273,K O Os,9.711451
137,Cu Er O Re Sr,8.43417
2461,Ag Cd Cu Zn,10.1543665
796,C Ca Y,8.200406
3390,Cu Er F O Sr,11.1790285
3274,Pd Ru Zr,8.718836
2023,Ba Ge Pt,8.054197
496,Mn Si V,8.276185
798,Bi Cu La O Pb Sr Y,9.160615
274,Ba Hf N,8.274176
2332,As Ca Fe La,10.872744
2970,As Ca Fe La Sb,10.3812065
2899,Lu Rh Si,7.734544
604,Ca Cu La O Sr,10.810485
4026,Cl Hf N,8.155969
766,Rh Sc Sn,8.361071
528,Ba Cu La O Ta W,9.718648
2191,Cu S Ti,9.439149
1975,Ba Pt,7.860354
516,C Cu Na O Sr,9.829164
245,Co Ga Yb,8.35224
771,Ho Ni,8.82086
3668,Bi Na S Ta,9.142706
3262,B Sm,7.569014
3627,Ba Pd,8.855468
2488,Pb S Se,7.6698837
277,Ba Ce Cu Gd La O,7.38988
1986,La Ru Si,5.9978337
2165,P Pd Sm,7.083316
193,Ba Bi O Pb Tl,8.809705
1651,Br Fe Se,6.777027
157,Ir Mo,4.2324753
2252,Re V,6.75556
1696,Na O W,9.616779
882,B Ho Ir Rh,7.5550356
2340,Mo Se Te,5.9941278
382,Al Ge Nb Sn,9.221934
2709,B Ru Th,7.272961
1194,Cu La Nd O,8.986796
2239,Bi Ca Cu Eu O Sr,9.773084
3835,Al Pd Zr,10.243751
2387,Bi Ce Cu O Pr Sr,8.824096
3998,Al C Y,8.238863
1227,Be Ga,5.9070344
1985,Ir Mo Re,7.3833756
3114,Ag Cd Sn,7.8180466
1559,Au Ga In,8.282693
1925,Al Sb,6.4637837
1155,Ba Cu Ho O,7.813592
3560,Rh Ru U,5.691796
424,As Fe Ni O Sm,11.608881
563,La Nd,6.4538336
974,S Se Ta,7.98636
1389,Ca Cu Ga O Sr Y,10.304714
4114,Lu Ru Sn,7.630253
307,Co Ru Sn Yb,8.9814415
219,Cu La O,8.3263235
1197,Ru Ti V,9.184135
1533,Cu F Nd O,10.755962
779,Ba Ca Cd Cu O Pb Sr Y,10.824421
2739,Ba Cu O,6.957998
220,Bi Ca Cu O Pb Sr Zn,10.902174
1100,Ba Ca Cu Nd O,9.144426
388,Cr V,6.7333493
3258,C Lu Sn,7.3581295
240,O Pd Zr,10.439289
2060,As Co La O,10.626339
4136,F O Rb W,10.652578
2128,Al La Tb,9.128566
159,Cs Te Zr,6.165353
1456,Er Pd Sn Y,8.959047
1928,Bi F O Sr Ti,11.460826
3239,Co Nb Si,7.717608
942,B Ta,6.979647
665,C Sc Th,6.5454946
583,Ag Ce Cu La O,8.365897
2823,As Fe O Tb Th,10.772194
2248,Bi O Rb,11.451365
623,Bi Cu La Ni O Pb Sr,10.844658
973,B Ir Sm,8.192057
3540,Lu Pd Si,7.681759
307,As Ba Fe Ru,8.952631
644,Cu O Sr,8.752671
3121,Cu Gd O Ru Sr Ti,10.238312
1461,Ag La,4.913267
612,Nb Ni Sn,9.8446245
3611,Bi F S Sm Sr,10.143758
2012,F O W,10.447588
297,Ba Ge Rh,5.9398093
3543,Ba O Rh Ru,8.583408
1950,C Ta Ti,7.559872
1483,Ge Pd Si Sr,8.726166
2623,Cu Dy La O,7.6274385
1066,Dy Os Si,7.150025
2827,Mn P,7.9326286
2946,Fe Ge Nd,9.730119
2778,Ba Cu Fe Gd O Sr,9.838141
1937,Mo Rh,7.0052166
2582,Cu Gd La O Ru Sr,10.0548935
1401,Be Mg Re,8.356519
2953,Bi O Rb Sr,11.578389
1332,Fe Lu Sc Si,8.879716
2087,Fe Lu Si,9.547548
278,As Ba Ce Fe,8.098139
3709,As Pr Ru,8.390782
2740,Be Ce,4.7267427
3646,Ni Se Ta,7.939988
1120,As Fe P Sr,9.200007
1868,B Cr,8.282312
41,Ba Cu O Pr,7.546209
3761,Ge Zn,7.797375
887,Al C Nb V,9.987965
801,Cu I Y,7.077376
2994,Cd Na,6.858846
1334,Ge Ni Pd Sr,11.529078
192,Cu Mo O Sr Tm,8.498876
1749,C La Ni Y,9.697988
2860,Au B C Pr Pt,8.560414
3442,Rh,6.6099234
417,Cr Ge,8.077721
2193,Cd Mo Se,5.761805
1770,Bi Fe Ni,9.943969
3808,Cs O Os,9.275356
563,Bi Ca Cu La O Y,8.842807
976,B Mo P,6.449315
623,Ba Cu O Sm,7.8517656
1,Y,7.4722567
1643,Pt Ti,7.640102
3216,Fe Li O Se,8.8469925
2486,Al Nb Ni,10.362363
2009,Ni Sb,7.4448137
318,As Ca Fe Pr Pt,11.006343
3602,As Os,7.0554175
3140,Bi Cu,7.381932
2639,Bi W,7.5045075
3533,Ce Cu Eu O Pb Sr Tl,9.207903
3339,Ba K Si,6.298408
177,Li O Ti,9.537316
375,Ca Cu O Pb Sr Tl Y,10.237731
3642,Br N Rb Ti,9.210895
4157,B Gd Ru Th,7.3003783
490,Nb Ni Sn Ti,10.608002
3340,As F Fe La Sr,10.076823
230,Cu La O Sn Sr,10.784232
3122,Cl Mg N Zr,9.383089
560,Hf Pd Rh Si,8.637677
885,Ba Cl Cu O Pb,8.900117
3329,Br Hf Li N Zr,9.583639
204,C K,5.726761
2982,C Mn Mo,8.04286
993,C Ca Cu O Sr Y,9.727801
2992,C V,6.763142
3542,Bi Cu Hg O Sr Y,8.534113
1500,C Ge La,6.8476715
2468,Cl N Na Ti,8.920215
1230,As F Fe Ni O Sm,10.860366
3008,Ge Nd Ru,8.107314
346,B C Mg Pr,8.332454
1900,Al Ce La,8.205328
3481,Ca In N,8.365834
1817,Ge Pr Ru,8.268604
2399,Ce Ru Tb,4.940299
2294,Cd Cu S,9.095285
3485,Pt Tl,8.291008
172,La Te,5.7829146
1594,Ir Ru Th,4.863247
624,Cr Si,6.8633738
391,Cu La O S Sr,10.093176
180,Ir V,7.2247033
3447,Au B C Pt Y,8.94803
2157,Tl,6.6349745
85,N P V,7.920946
2938,Al Nb O,8.606986
342,Er Ge Ru,7.1692276
3623,Bi F Nd S Sr,10.281427
1977,La Lu,6.1095343
295,Ca Cu O Pb Sr Yb,9.458925
3861,B C Ni Pt Y,11.103068
521,Mo Rh Ru Zr,7.8429027
3743,C Pr,6.2689886
506,Ba Co Cu O,8.421949
3594,Co O,10.16605
3350,Pb S Yb,8.276129
540,Al Pr V,9.660031
707,Hf Ta,6.019302
1113,Er,5.795329
387,Ca Cu Fe O Pb Sr Y,8.769753
2026,La Pr Tl,8.200747
1660,Te W,5.1350646
3640,Nb Ru Si,5.8361435
309,Ce Cu Ho O Pb Sr,7.4453764
3320,Cu In Nb,7.115052
3298,La Pd Sb,7.646148
611,Al Ba Cu O Y,10.233475
2329,As Ge Re,10.734146
684,Nb Rh,6.9506884
536,Ce Co In Rh,10.018044
2425,Mo Nb Si,6.668633
2437,Ba Cl Cu O Pb Sr,10.363234
2136,B Ru Th U,6.640153
4196,Mo S Tb,7.7778945
2718,Gd Rh Si,7.9004803
3331,In Sn Th,9.065434
3956,Ca Cu O S Sr,10.1839905
2286,Al Th,7.471231
19,Cu Mo S,6.8663673
2825,C Ir O,9.194153
1723,Ce Ni,8.052948
98,Gd Nb O Sr,9.781078
1678,Mo Ru Se,6.417971
163,B C Ni Sc,10.634118
1137,Ce N,5.115576
3401,As Ca Fe Gd Pt,10.848124
1746,B C,7.9701695
286,As Co F Fe Sr,10.2721615
2392,B Co Dy,8.386382
2507,Ba Ca Fe O Y,10.1231165
3002,As Ce Co F Fe O,10.269923
332,Br C Na Y,7.7566237
250,Cu Fe La O Sr,8.944045
4182,Pd V,8.41056
2894,C Ni Th,9.249235
227,B C Mo Zr,8.67551
2090,Pb V,4.6062098
371,Nb Os Rh,4.595615
3506,P Ru Sr,8.415514
239,B Co Ho,7.8426437
3736,Li Mo O,10.176511
4037,Ba Cu Fe O Pr,8.395752
2689,B Rh Th,7.9272275
4084,Ge Sc,6.1427298
326,Ce Cu La O Pr,8.533933
1938,Fe Lu Si Tm,9.220258
4112,Eu Mo S Se Sn,8.506206
524,Ba Cl Cu La O,9.615312
76,Ba Ca Co Cu O Y,9.818998
3661,Cu F La O,10.875774
3019,Co U,7.0481176
614,Ba Ce Cu Eu La O Sr Y,10.4142885
2414,Ce Si,7.9323
1069,Ba Cu La O Tl,10.218643
2966,C Ti,4.531563
1747,Ho Re,7.1323905
3254,Cu O Pb Pr Sr,7.125916
1754,Al Nb Zn,9.171353
2055,C H N Na Rb,9.304799
571,Ca O W,9.573972
1093,As Ga,8.54996
2006,Co Lu Sn,8.787205
914,Al Pd U,9.7907295
3047,Pr Ru,5.542856
359,Ce Ni Sb,6.9381285
1107,Fe Ni Se,8.051421
616,As Ba Fe K Zn,10.351005
3156,B Co La,8.658886
1835,Nb O,9.530499
2354,Be La,4.5641623
366,P S Ta,7.232408
40,Ba Mo Se,6.2801523
3490,Ga Ti V,9.337977
2337,Au B Mo,8.00763
478,B La N Nd Ni,9.689068
253,Al Ba Cu Ho O,9.739792
1365,Ce Pr Ru,5.6559553
3146,Eu Fe Se,6.677677
3034,As Ce Co Fe O,11.238186
72,As Eu Fe P,8.631507
3208,Ba Bi O Ti,9.750204
51,Mo Np Se,6.173194
2500,Lu Rh Sn,8.445782
1598,Cd Pd,8.265237
1088,Ag Th,4.056785
1012,As Ca F Fe Ni,10.828025
3905,N Ta,6.6097293
3759,B Co Sc,8.039917
3344,Cu Ho O,8.2642
865,Ta Zr,6.594428
1703,Bi Ce F S Sr,10.546522
4052,As Se Y,7.0693064
2278,Ga V W,8.563691
1558,B Ce Os,7.0070686
2116,C Si,7.847319
2438,O Rh Ti,9.502168
3395,Bi Re,9.364007
3797,Pr Ru Sb,5.0832796
1988,Dy Mo S,7.3819523
122,Ce Cu Nd O Sr Zn,9.2787895
2109,Ir Si,7.7846355
3585,Ag Ba,5.277968
838,Pd Th,7.592425
248,Nb Ta Ti,8.833796
4053,Ca Cu O Pb Sm Sr,8.887333
2029,As Ce F Fe Gd O,9.919835
1458,Ce Co Cu O Sr Y,9.5213
411,Bi Ca Ce Cu O Pb Sr,8.496482
1222,Ca Ga Ge,9.154959
1320,Ir W,6.578626
3443,C Cs Tl,5.3224206
907,Ba Cu La Li O,10.061553
2143,B C Y,9.134831
4095,Ga Mo S Sn,8.546102
739,As Ca Fe Na,11.141823
3264,O Os Rb,9.885054
1265,La Pb Pr,6.0085864
2567,As Fe La O Sm Sr,10.806265
403,In,7.263991
1918,Br Cu,6.6584306
797,Er Mo S,8.0272665
2957,Eu Os P,6.694926
3469,Fe K Na Se,7.4914007
3605,Pr,6.860597
3942,Ca Cu O P Sr,9.613682
2586,Mo S Sr,6.3067956
717,Ir Re Rh,8.770596
4016,Pb S,7.057556
2539,Sn Yb,7.032948
3582,Co Cu K S,8.947441
2773,Ba Cl Cu O,9.062848
8,N V,6.885699
2314,B C Co Pr,8.835294
3740,Ga Ni V,10.610647
3608,B Co Tm,8.557349
361,Ce Mo Te,5.3938904
1652,Bi Cu Mo O Pb Sr Y,8.959488
1414,Au Ce Si,8.646654
2041,Ca Cu O Sr Tb Tl,10.556692
1248,Mo Ni O S,10.284837
1684,Mo Pb,5.6022573
3770,H Ti,9.476369
4116,As Ni O Sc Sr,11.154896
2139,Yb,6.4745207
206,Al Ge V,9.645539
3590,Ga Sn Sr,9.502128
3151,Co Ir Lu Si,8.628631
133,Cu Mo O Pr Sr Y,9.245466
2754,Ir Si Tm,7.6734953
3626,In Si V,8.317325
1879,Al Cu,9.282489
2533,Be Re W,7.7875834
2872,Se Th,5.177478
1576,Pd Si,7.15158
203,C La Os,7.3449454
479,N Nb,5.941301
758,B C Pd Y,9.767823
1139,C Hf Ta,7.307767
837,Al Ca Cu O Sr,11.277251
1471,Be Ir,3.5488205
2372,Ni Ti,9.429019
340,Ba Ca Ge Pt,9.402095
67,Ba Ca Cu Er La O,9.807808
3105,Fe La,6.03192
3312,Sn Ti,8.078695
2836,As F O Sr Ti,10.91343
2900,C La Sn,6.967585
2189,Sc Se,5.5406685
1242,Ca Cs Li Nb O,11.2078285
1836,Cu O Pr Re Sr Y,9.516206
532,Ba Cu Fe Gd O,7.231283
2356,Cu La O Sm,8.433299
2000,Al Tl,9.0801
249,Ce Cu Gd O Pb Sr,6.8621883
142,Ce Cu Eu Hg O Sr W,7.658624
338,Ce Cu Nb O Ru Sm Sr,9.14627
2905,Pd Sn Yb,9.269557
505,Ga N Nb,7.299433
3048,Ca Cu O,7.9734683
2365,Au H Pd,9.964738
1473,Ru Y,6.3278894
3497,Mo Rb S,8.801242
143,Ce Cu Gd Hg O Sr W,7.4639516
3895,As F Fe Gd O Te,10.262986
419,Be Gd U,4.452134
2788,Al Ce Cu Eu O Sr,10.695535
2787,Ba Cu Eu O Ti Zn,10.563664
2395,Ce Cu Fe Nd O,9.927494
287,Pb Te Tl,5.8303328
399,Co Cu Rh S,9.188476
934,Ca Cu O Sr Tl Tm,10.642513
533,C Y Zn,7.3960147
325,Ba O Sn Y,9.515788
3185,Cu Pd Sb,8.224366
3075,Cu Er O,7.6970515
2126,Al,7.686508
2853,Ga Lu,6.842533
595,Cu Gd O Ru Sr Zn,10.306647
325,Mo Ti,4.556097
1006,Bi Cu F La O Sr,11.089251
4017,Sc Si,6.5211186
1999,Be Y,6.864699
76,Ba Mo Pb S,6.425056
960,C Y,7.894627
167,Cl Li N Zr,9.873408
2415,Be Nb Zr,7.029304
3144,As Pt Sr,10.116406
1930,Ag Sn Te,7.978261
3692,Cu S Zn,9.4209795
2453,Cu O,8.084849
509,B C Ni Pd Tm,11.545122
2268,Ho La,5.3809376
2578,La Ni O Sr,11.177796
3392,Tl Zr,6.8866234
678,Ba Cu Ho O Sr,10.348223
465,Ca Eu Mo S,8.618447
1200,B Ba Cu Gd O,8.7966385
2692,Ba Cd Cu O Tl,9.942089
2036,Nd Ni O Sr,10.281026
2741,As Eu Fe Na,10.417311
1964,Se Sr W,8.100921
793,Cu Ir S Zn,9.767273
2432,As Ba Fe Rb,10.542746
587,Cu La O Sn,8.886905
2828,Na Nb S,7.5443273
1507,Ba Ca Cu Ga O Sr Y,10.522779
4069,Bi Ce Cu Eu O Sr,8.534082
530,As F Fe La O Zn,10.45877
1001,As Ba Fe Rh,8.93272
427,B Mg Na,8.630887
1895,Se Y,6.828789
2717,Fe Rb Se Te,9.053591
1782,P Ru,5.5682645
2515,B Rh Tm,7.073378
829,Na Sb,6.820263
2351,Ir Nb Rh,6.8609853
3751,Ce Co Cu Nd O Sr,9.204372
686,Cu Eu La O Sr,9.958254
2805,Bi Ca Cu O Pb Sb Sr,8.782687
2073,Ba Fe Se,6.749304
630,Cu Eu Mo O Sr,8.371804
107,B C Ce La Pt,9.003948
923,Os Si Y,7.993457
4200,Hf Ni Ru,9.475267
1748,Ba Cu La O Sr Tl,11.141976
201,Ga Mo,6.691999
381,B I,8.082931
2196,Cl Cu O Sr,10.125356
1958,Cr Ir,5.30739
3505,C Fe Lu,7.850517
3576,Bi Ca Cu Hg O Sr Y,9.473162
1278,Cu In Ti,8.883991
4019,La Mo S,8.083637
2835,Se V,6.829124
926,Ba O Sr Ti,9.944717
3189,B Rh Yb,8.4776325
1984,Co Ga Nb,8.39873
2362,Si W,7.898597
409,B C Mg Si,7.841399
1518,Cu Nd O Sr,8.85513
2097,Bi Nb Sn,8.500917
13,Ga Mo O,10.207707
1531,H Pd,10.417
3486,Ge Re,9.869803
208,Rh Sn Tb,8.572901
1753,Si Ti,7.2469068
3310,Ba Cu O Pt Y,9.095393
2540,Ge Ir U,7.8239746
1889,Ga Sc,5.000106
4006,Lu Ru Si,6.904173
2481,As Ba Fe Mn P,9.060321
3217,Ce Cu Gd Mo O Sr,8.379173
2951,Cu O Ru Sr Tb,9.692173
1601,Ba Ca Cu Eu O Sr,10.559361
1304,Ca Cu Fe O Sr Y,9.202208
520,Fe Lu Ru Si,9.2561865
4167,As Ca F Fe Nd,9.386988
3900,La Sb Sn,7.780448
222,Cd Cu La O Pb Sr,9.661362
3986,B Os Sc,6.899463
3500,Ga Mo Ru,6.483314
1262,Ru W,5.142644
2149,La Yb,6.6637073
2683,Cu Ho O Ru Sr,9.184073
2298,Ba Rh,6.133294
3061,B V,7.2041793
70,Mo S Tl,6.810542
30,Ce Co Si,7.8477736
2435,K O Re,10.878746
3872,Bi Cu La O Zn,9.567827
1207,Ca Rh Sn,8.814962
1634,Al Ca,8.755399
2144,Cu Er Fe O Sr,8.866286
764,C Co Mg Ni,9.543974
543,Lu Mo Se,6.577567
2289,Ba Cu Fe O Sr Y,9.712865
1846,B Lu Os,6.4667993
2315,Ba Bi K O Y,10.191854
2722,B C La Pr Pt,9.273805
994,Ag Hg,4.9949436
4125,B Ba Cu Nd O,9.967844
3410,Ba Cu O Sm Y,8.103349
2949,Ti,6.256481
3563,Bi Ni Se,8.353416
3738,Cu O Pb Sr Tb,8.045455
3588,Pt Zr,6.144104
3754,Ce Cu O Sr V Y,10.219106
2364,Ba Sn,7.4258657
460,Cu La Sn,8.885441
2418,Cu O Pb Sr Tb Y,9.348322
2099,Bi Cu Ga O Pb Sr,8.721573
1945,Tc V,6.903693
1208,Sb Sn,7.815714
573,Bi Ca Cu La O Tm,8.966679
1781,Bi Cs,9.147983
676,Bi In,8.395864
2327,B Ge Ta,8.502071
3456,B Ir,7.6215153
1285,As Co Fe La O,11.502835
33,Ni Ti Zr,10.228282
3909,Ag Lu,6.0118265
2299,Nb Se Sn,8.067111
2534,Ba Cu Fe O Sr Yb,10.686234
1620,Al Ba Si,8.912052
2967,Pd Rh Te,8.450772
2725,Pt Sb Te,4.133054
3908,Ba Cu Fe O Sm Sr,10.360773
3361,B C Lu Re,8.508886
17,Cu Te Tl,9.07716
3934,Ca Cl Cu Gd O Sr,10.708339
271,In Sn,9.120645
164,Nb Sn Ti,9.025422
4123,Os P Zr,8.099995
2251,Fe P Zr,6.785498
3482,Bi Ce O S,10.606604
4071,Ca Cu Ho O Pb Pt Sr,10.018022
466,Al Ba Cu O Y Zn,11.081727
2127,As Ni Pd,10.907385
1154,Ba Cu Gd Hf O,7.754932
987,As Ca Fe K,11.177109
1445,Ta Ti,6.8432603
43,La Mg,4.631756
4049,Ba Ca Cu Gd O Pr,8.974595
3955,B Ir Rh Y,7.671515
3474,Ca Co Sn,9.031064
628,Ag Te Tl,7.1141005
3568,Ba Cr Cu O Y,8.957693
535,Mo Os S Sn,7.2368345
2615,Bi La O S Th,10.398744
1716,Al Nb Ta,8.754361
113,Gd H O S Ta,9.877662
697,Ag Zn,6.6354003
3790,O V Zr,9.38192
4013,Ce Mo S,7.672653
3422,As Y,6.835214
2719,As Ba Fe,8.544793
1412,Ba Ca Cu Li O Si Tl,9.354069
3961,B Rh Sm,7.744436
3757,As Re,8.996214
346,Li O V,9.804999
243,Ba Ca Cu La O Sm,10.130794
3306,Ba Mo S,6.165948
444,Cu Er O Pb Sr,7.2520866
2285,Ce Cu Nd O Sr Ta,8.919794
467,Co Ga V,8.427305
195,Ba Cu O Sr Y,10.102778
2736,Ca Cu O Sm Sr Tl,10.754614
3026,Ca Ce Cu O Pb Sr,8.522241
96,B Co Er Rh,9.181882
75,B In Sc,7.882489
2048,La Pt Si,7.9378886
1112,Fe Mn Se Te,7.3288617
1135,Ce Os,4.255154
1943,As Ca Fe Nd Pt,10.933625
3367,Cs Nb S,8.071645
3245,Br C Y,7.4624224
1786,B Lu Rh,8.405582
4080,Se W Yb,6.935967
1792,C In La,6.60682
3098,Co Te,6.018182
1115,Ga Yb,6.881188
117,Rh Ta,8.089255
1787,B Yb Zr,7.5844584
3359,S,6.899198
343,Ga Mo Nb,6.6500907
1059,Ga Nb Ni,10.15868
2221,Ba Ca Cu Nd O Sr,10.834814
1666,Cu Hg Mo O Sr,8.324938
3168,B Eu Rh,7.910442
1009,B Be,6.176963
788,Fe Mo,7.6016884
3834,Bi Ce Pd,9.384161
1670,C Ga Mo,8.325726
2977,B Ca N Ni,10.276174
584,Mo Pt,4.870074
1223,As Ca Fe Nd Sb,10.879426
3676,In N,7.708244
73,Nb Ta,6.7363505
178,Cu La Ni O Sr,11.689633
276,Bi Ca Cu F O Sr,10.471746
4187,Nd Ru Si,7.3583045
2064,C Nb Sn,8.093738
1048,Pd Sb Ti,8.5235405
3760,As Bi Pb Sb,8.295489
3618,Ag Si,7.1994324
3597,Cu P,8.239755
268,Ir La,6.754254
2793,Bi Ce Cu O Sr Tb,8.585955
1252,Bi Cu Nd O Sr Y,9.721945
1315,Fe O P Pr,9.851425
4119,Tc,5.5732822
207,Ba Cu La O Pr Sr,10.6330805
598,O Ru Sr,9.380632
2440,Ce La Pt Si,7.7469873
1196,C N Na,7.9151354
2518,B Ca,8.74173
374,Rh Ru Zr,7.902156
660,Au B C Ce Pt,7.8279033
309,Ga V,7.3003
2056,Ba Cu Nd O Tl,9.465395
767,As Fe La O P,10.507724
58,Ba Cu Fe La O,7.176775
258,La N Nb,5.974043
2129,Ce In Pt,7.4868145
3539,Cu Gd O Ru Sn Sr,10.858103
546,La Nd Sn,5.1835375
3595,Ce Cu Eu H O Ru Sr,10.840917
610,Ba Cu La O Pb Sr,10.683034
3240,Al Ca O,8.938905
842,Fe Th,7.4883304
1495,Al Ti V,10.724519
18,Cu Ni O Sm,9.895182
259,Ir Rh,6.985274
3810,Pd Sc Sn,8.249859
263,Bi Sb,7.4954
3131,Bi Lu Pt,8.559451
702,Ce Co Rh,8.652021
246,Rh Zr,7.1018043
4193,Lu Os,4.4394035
339,Ba Cu Nd O Pr,9.260264
1280,Dy Pd Sn Y,8.83958
154,Pb Tl,5.904361
1510,Er Ru Sn,6.590192
157,Na Te Zr,6.5135803
747,C W,5.191562
152,Ce Cu Nb O Sm Sr,8.253763
3145,Au Rh Ti,8.374356
3870,B Ho Lu Ru,6.4221244
2762,Nb Pb S Ta,7.493917
1420,Co Nb V,8.046842
319,Bi K O,10.607698
3195,O P W,9.24331
3530,Cu Nd O Sr Tl,10.257652
1415,C Rh Ta,7.7017484
3150,Al Zn Zr,10.0226345
640,Nb V Zr,8.563125
150,Ba Cu Eu Fe O,7.029027
519,As Cr Cs,8.898446
1322,Cu O S Sr Zn,10.53971
126,As Ca Fe Pr,11.049934
3723,Cu O S Sr Y,9.996032
1457,Ba Ca Co Cu Er O Sr,10.030788
2428,As F Fe Nd O P,10.616388
3384,Bi Th,7.117628
4130,Bi Co,8.947047
113,Fe Ni Zr,9.044429
557,Bi Ca Cu O Pb Sr,9.313357
3278,La Pb Th,4.096524
427,Ba Cu Fe O Y Zn,9.783711
3441,Ce Ge Ru,7.361338
126,Ce Fe Lu Si,9.531959
443,Cu O Pb Sr Tm,7.809573
315,B Yb,8.153458
2699,Co Ga Np,7.786628
57,B Rh Ru Y,8.788172
2981,Dy Os P,6.5919986
2758,Ba Cu O Tb Y,8.677707
3708,Pb Pd Yb,6.706741
3976,Ca Fe O Zn,10.726241
1075,Cu La O Sr Ti,11.028734
3202,B Nb Rh,7.9632287
3807,Ir Si Ti,7.968984
3227,Bi In Nb Sn,9.612347
2167,Fe Sb Se,7.005134
3088,As Eu Ni,9.788921
847,C Ni Th Y,9.029281
471,Ba Ca Cd Cu O Pd Sr Y,11.755622
1253,As Co Sc,8.3753195
557,Gd Mo S Sn Te,7.5436134
3238,B Ir Nd,8.330413
2019,Ba Cu O Pb Sr Y,9.885538
1692,Gd Nb,5.725531
3947,Ga La V,8.790629
2670,Ba Cu Fe O Sm,8.071341
1802,Ge Nb Pb Sn,8.475107
3050,Cu Se Zn,8.465006
824,La P Pd,7.813973
1615,As Ba Li O Ti,10.700372
2460,Mo Nb Zr,6.105454
1076,Hg Sn,7.008044
3982,As Fe Na Ni,10.848248
2595,As Ca Fe Gd,11.04543
2512,Ba Nb O,8.183655
445,Ba Cu O Pr Sm,8.737522
3653,As Ca Fe Lu Pt,11.142717
283,Bi,7.048062
3003,Ni Sn Zn,10.307028
1545,Au Nb V,7.4357443
3686,B Eu,7.1855764
2398,Hf In N,8.050713
1169,As Co Fe Sr,9.648106
38,Ge Hf Rh,6.9340563
834,Cu La O Pr,8.395893
1392,B C Lu Ni V,10.738368
327,Ba Ca Cu Hg O Sr Y,10.157046
2474,Co Ge Si U,9.068011
2222,Ba Co Cu O Pr,8.505863
904,Cu O Sm,7.927377
322,Cu O Pr Sr,8.064301
2613,Ca Li,8.234646
3954,B Rh Si Y,9.063539
88,As F Fe O Sm Zn,10.828308
2661,Ba O Pb,7.424757
2973,Fe Lu P,6.3326955
2633,As Ba Fe K O,10.459924
3792,Ca Pt,9.069135
201,Ba Cu Gd La O,8.085189
2485,H Nb Pd W,9.9773855
2401,Ge Pd Pt Y,8.82423
2809,In Pt Y,9.106502
423,B C Pt Th Y,9.430856
3100,Os,4.1175227
503,Ba Cu O Sr Tl,10.853687
750,Ce Cu Mn Nd O,8.551825
3624,Al Ce Pt,8.10368
675,Ir Y,5.6978364
3701,As Os Zr,7.584875
1187,B C Pt Th,8.519206
601,As Hf Ru,8.282986
3884,Ag Mg,7.216751
2568,Ce P Ru,6.1300855
3722,La Sc,6.3444843
3929,B Lu Os Th,6.5814414
244,Ca La Si,7.5110683
1167,Ba Si,5.9999075
2386,Sc V,5.6616864
491,Ce Co Gd In,9.556454
2864,Ga Ni Pu,9.466717
204,Ce Cu O Sm Sr Ti,9.648428
1256,B Ba Cu Eu O,8.436939
