,phases,ranking
1300,B Ba Ca Cu O Sr Y,10.679978
1234,C H K N Rb,9.594549
55,Fe K Se,6.9625916
3086,Bi Ca Cu O Sr V,10.724581
4105,Mo O S,9.32995
2543,Br Cl Li N Zr,10.099816
896,Co Ni P,8.912244
3173,Bi Ni S,9.841425
1513,Tl Y,5.6598215
2008,H Ni Pd,12.035268
3220,B Ho,7.3750954
3465,Li S Ti,9.812864
2200,As F Fe Sm Sr,10.308876
501,Ba Bi O Pb,9.159427
408,Sc Zr,5.364422
954,Cu Gd O Rh Ru Sr,9.790803
818,Cr Ru,5.8284583
566,Sn V,8.645083
522,Ca Cu O Pb Sb Sr Y,9.045815
4097,Na O V,9.337567
69,Ca Cu O P Sr Y,9.644035
330,Ba Ca Ce Cu O Tl,9.513487
179,As Fe Mg O Sr Ti,10.368201
840,Ir Si Tb,7.7409716
919,Ba Ca Cu Hg O,8.444717
137,Al Fe Se,7.253826
92,Au Ge H Nb,6.219541
483,As Ca Fe Rh,10.985494
1021,Mn Ti Zr,8.838178
2183,Ce Co In,9.392795
3066,Nb Os,3.190612
2490,B C La Ni,10.790553
929,Au Hg,7.1332607
3406,Ir Yb,6.662539
2892,Ir O Ti,8.283093
3342,Ge Pd Si Y,9.103064
324,Ce Co Ru,7.31438
3028,Bi Li,7.8776274
2530,Ba Ga,5.8147993
4178,B La Rh Si,8.028201
2907,La Mn O Sr,10.374817
3024,As Cu Fe,9.250915
3619,Be Ti,5.6290674
524,Fe Ru,6.847927
2037,Al Ge Sr,9.671581
3606,C Cl I Y,8.845998
802,Mn Mo,7.0069103
3423,Fe Sc Si,8.492551
147,Ce Cu Dy Hg O Sr W,7.3565397
1989,Ge Pd Sr,9.165693
1627,In Yb,7.013934
286,As Fe Ru Sr,9.060309
3983,Dy Ge Os,6.087192
51,B Er Gd Rh,7.977572
3095,Ba Cu Nb O Pr,7.4923067
1851,As La Ni O Sr,11.437172
1214,Ce Ge Pt Si,8.957591
2266,As Fe O Sc Sr Ti,10.447333
188,Ba Cu Dy O,7.0789948
662,Mo Tc,4.7623386
1800,Ag F O,10.054076
3436,Mo S Sm,8.538673
2979,Ce Fe,8.160085
4149,Hf Sb,5.0694036
3598,Cr Cu Hg O Sr,9.381469
1517,B Si Ta W,7.3559766
944,Ag F H O,10.78391
3006,C Mo Y,8.601074
2430,Al Co Zr,9.226625
652,B Os,6.6978817
3094,Pt Rh Ti,8.160875
556,B Gd Lu Ru,8.182097
3071,In N Ti,8.317682
173,As Fe O Sr V,10.099778
127,Nb Se Ta,6.57537
36,Ca Hg,6.7767763
435,Ca Si,7.6142073
508,Ag Sb,6.1241817
1396,Ba Ca Cu Ho O,8.235011
45,Os Pr Ru Sb,4.655311
2631,Cs Mo S,8.18914
3612,Ba Cu O V Y,9.590551
1097,B Nd Rh,8.650968
3620,B Gd Ru,7.462616
79,Ta V,7.3845077
261,As V,8.823363
2588,Pt Ta,5.9673576
1098,Nb Pd S Se,7.977632
87,Ba Ca Cu La O Sr,11.232249
3025,B C Co Er Ni,10.449866
1535,Ce Cu Mo O Sr Tm,8.525295
450,As Ba Fe Mo,7.0675893
3181,Ba Ce Cu Nd O Ti,8.803823
2330,Fe Na S Se,8.774036
302,As Fe La O Th,10.741241
1939,As Fe Rb,10.912309
748,Cr Ti V,8.733673
2842,Lu Si,7.685025
3324,Ba Cu Fe O Yb,7.04756
31,Fe Ga Se,7.4105215
240,Mo S Th,7.5589004
435,B Dy Rh Y,9.07265
257,Cu Si,8.114892
1366,B Co Y,9.625101
2831,Cu O Ti,7.4008155
2033,Os Re Y,7.8669715
2267,As Ca F Fe Rh,9.476281
807,Ru Si Tm,6.3909135
2857,Co Rh V,8.765174
4067,Al N,7.9824686
1842,Ba Cu Eu O Y,8.5784025
3999,Co Ge Pr,10.094198
2296,Bi Nb,6.5415397
574,Ba Bi Cu O Sr,10.00389
3662,B C Cu Lu Ni,10.765013
2454,B Ho Lu Rh,6.390532
2704,B Ir Tm,7.496622
1393,Ba Ca Cu Dy O Zn,9.793618
2210,Ho Mo S,7.2797265
3042,Ga Sr,6.7603617
2591,Ga Pt,6.8849773
442,Er La,6.4613924
3069,Ge Ru Yb,7.6997223
7,Lu,6.322497
264,C Ce Cu O Sr Y,9.207552
538,C Cr Y,8.278231
2171,Al C Ta,8.958256
2555,Ce Cu Ga O Pr Sr,8.699128
868,Be Mo,5.396524
256,B Ir Th,7.5271773
