phases,average probability Tc>10K
Er Fe Nb,0.651876385533333
Mo N Pt,0.6513456031333336
Fe Hg Se,0.6512450828333338
As Fe La,0.6511167726999998
Al N Zr,0.6509746084133333
C N Si,0.6504821872666665
Cd Fe Se,0.6503228508666664
N Nb Ti,0.6502464016333335
Ge N V,0.6501098997333332
Cr Fe Ga,0.6500580301333334
N Na Sn,0.6499804835666666
Al C Fe,0.6496340676466668
Cr Li N,0.6494459818666666
H K N,0.6494123972333339
Cl Fe Na,0.6491737287333332
C Nb Sn,0.6490595522333336
Cl N Se,0.6485594936333334
N Sr Zr,0.6485176109
C N P,0.6483217254666667
Fe Ga S,0.6481846227333331
Fe Ga Te,0.648033939733333
Li N Se,0.6478795945000003
Fe Nb P,0.6476940896133333
B C Fe,0.6476813274133332
H N Zr,0.6473242189333327
Cl N Zn,0.6469820037666664
Mo N O,0.6467656340666669
Fe Sb V,0.64648714312
C Lu N,0.6464647664333336
As Fe S,0.6463754825000001
N Nb O,0.6463673634333336
As Fe Ta,0.6463647786999996
Bi Fe Se,0.6463574693333336
B Ga N,0.646052646233333
La N V,0.6459304254999997
As Co Fe,0.6458711937666666
Li N Zn,0.6456418495000004
C N Pd,0.6455119685333338
Ba Cu N,0.6452940489666668
Br Fe Li,0.6452454064
I N Zr,0.6448320695666673
Co Fe V,0.6438412930666663
B Fe Mo,0.6438247884666667
B C Mg,0.6438060675333334
Al Ca Fe,0.6435785955666672
Fe K Te,0.6434472014666668
C Mg O,0.6433818095333337
Cl Hf N,0.6433217172333326
C N Sm,0.6431862245666664
Cr Fe Mo,0.6431021830000004
Fe S Se,0.6430962453666662
Cu Ga O,0.6429568914999998
H N Na,0.6429443331333332
Fe O Ta,0.64288824094
Co Fe Se,0.6427334675666667
Ba Br Fe,0.6424304751999999
Al Ba Fe,0.6424167353666665
C Ga Mo,0.6423597512000008
N P V,0.6422989055000001
Dy Fe O,0.6422819782000009
Fe S V,0.6422343765333332
C Ho N,0.6421922600666674
Al C Nb,0.6420814766999999
Fe Ge V,0.6419228041499999
Cd Li N,0.6418047671000002
C N Nd,0.6417831160666665
C Cr Fe,0.6417312591333333
As Eu Fe,0.6417026797999998
Bi Ga N,0.6416783915666664
F Fe K,0.6415604125666672
Fe Hf V,0.6409142985333334
N Nb Ni,0.640769210433334
Co Fe O,0.6406134676333327
Ba Br N,0.6400539117333334
Co Mo N,0.6398239371999999
C Ce N,0.6397711923000003
C N Yb,0.6394980610333334
Fe Se Ta,0.6393344228000003
Fe P V,0.6390413672666672
Cu O V,0.6389206701333336
B Li N,0.6387663016000005
Ba N Sn,0.6386976425666663
N Sc V,0.6386847867666664
Ga In N,0.6385883444333339
Fe O Sc,0.6383394000333337
Cu H N,0.6380850699999995
C Gd N,0.6380460693666665
N Se Zr,0.6380103965000001
Cl Fe Rb,0.6374933846999998
Ba N Rb,0.6374882473666668
Li N Te,0.6374161526333336
C N S,0.6372963541666669
