phases,max energy gap,n compositions
Ca Cu La O Ti,2.5,1
Ba F N,5.9,2
Cr Sb Zr,4.1,1
Mn Sb Zr,3.4,1
Na O Pr Ru,3.6,1
Na Nd O Ru,3.7,2
Cs H O U W,4.4,2
B H Ho O,5.0,2
Bi Ca N O,4.2,1
Ca Na O P V,5.6,2
Bi N O Pb,5.5,1
Bi N O Sr,4.3,1
Eu F Pb,4.5,1
Cs Ge H K O,4.6,1
La Mn O Os,4.9,1
Bi O Sr Ti,3.7,2
K O Ta,4.6,4
Cs O Ta,4.6,4
Bi Ca O Ti,3.6,1
Cu Na O S,4.6,3
H K Mg Na O P,4.5,1
Cr O Rb U,4.9,3
Cr K O U,4.2,1
Cr H Mg O U,4.9,4
Ba Nb O Zn,5.2,3
Ca N Nb O,4.2,1
In K O P,5.0,1
In O P Rb,5.2,1
Cs In O P,4.9,3
Ce O Pb,5.4,2
Na O Si V,4.1,1
La Li O Ru Sr,3.7,1
As F Fe H N O,5.3,1
B Er O Y,4.3,2
H O P Rb V Zn,4.6,2
H Na Nb O,5.5,4
Ca Cu Ga O Ru,3.9,1
C H K Mg N O S,4.4,1
H K Mn O,4.7,4
Co Mn O Sr,5.1,5
Ce F Na O Si,4.5,1
La Mn O Rh,4.1,1
O Pb Si V,5.1,1
Ca Na O V Zn,3.6,1
Cs Li O Ru,4.2,1
Bi Cr O Ta,4.1,1
Ba O Ti Y,4.6,2
Ba F Mg,6.9,7
Ir La Mn O Sr,3.6,1
Ba F Mg Mn,5.7,1
F H Mn O Rb,4.4,1
Cl F Sm Sr,5.4,1
Ca Cl F Sr,4.8,1
Br Cl F Sm Sr,4.9,1
Br Ce Ga,5.5,3
Ba C N Pt Rb,3.8,1
K Na O W,5.7,3
Eu Ge Na Se,4.2,1
Eu Na Si Te,4.4,1
Br Gd Si,5.7,2
Br C Hg K N S,5.2,1
Eu Ga Li,4.4,2
Ge La Na Se,4.7,1
C I La,6.3,6
C Ce I,6.8,4
Al La Mn Se,3.8,1
C Cl N Pb S,5.8,1
P Rb S,5.5,3
Cs P Pb S,4.1,1
Ag Ga Mg,4.7,1
Br Co Gd,6.1,1
Ge K S Tb,4.3,1
Ge K Pr Se,4.6,1
Cs Se Si,4.8,3
As Ca H Mg O Zn,4.9,2
Ca Cr Mn O,4.7,1
Ba In O Ti,3.1,1
La Li Mg O W,2.9,1
Cl Hf N Na,3.3,1
Al H N O Si,5.6,11
Al B Cr F H Mg Na O Si V,4.8,1
Al Ir Ti,3.4,1
As Ca Cu H K O,4.4,1
F Fe Na O Si Ti,5.2,1
B Cu H O,5.0,1
Al Ca F Fe H Mg Na O Si Ti,4.6,1
B Nd Pt,3.3,2
Sb Si Tm,4.5,1
Sb Si Tb,4.4,2
Dy Ge Sb,4.9,1
Ge Sb Y,4.5,2
Ge Ho Sb,3.9,1
C Cd Cs H O Zr,5.0,1
As Ce La Nd O P,4.9,1
Ba Cu Hg O Sr Y,3.9,1
Li O S Ti Y,4.6,1
Er H K O Si,5.1,1
H K O Si Tb,4.1,1
Eu H K O Si,5.2,5
H K Mo O P S,4.7,1
Br C Cl F O S Sb Te,6.0,1
Ni O Sb Ti,4.6,2
Ni O Sb Sn,5.2,1
La Li Nb O,4.7,6
K O Sc Si,5.2,1
C Cu Fe N O,4.2,1
Ca La O Ti Zn,4.5,1
Ba Fe O P Pb,4.4,2
Ga H K O Te,5.0,2
Cd O Re,4.5,1
As Cd Cl O,5.2,1
Co Er Fe V,3.3,1
B Ca H O Si,4.5,2
Ba Fe H K Mn Na O Si Ti,4.5,1
Ca O Si Ti Zr,4.9,1
Co La Li O Ti,4.7,1
Fe K Mg O Si,4.2,1
Fe H Li Mg O Si,5.4,1
B Ca Ce F Fe H Na O Si Y,5.2,1
Al B Ca Fe H Mn O Si,4.5,1
Al Ba H O Si,4.9,4
Ag Cl Cu O Pb S Sb,5.4,1
Cl O Pb Si,5.3,1
As Ca Cl Cu H Na O,4.5,1
Al Ca F Fe H Nb O Si Ti Zr,4.2,1
O P Rb V,4.8,7
B C O,3.2,1
B O Pr Sc,4.4,1
B Ce O Sc,4.5,1
B O Sc Tb,4.7,1
C H I N O Zn,5.3,1
H K Mg O Se,4.2,2
B C Ca H Li Na O,4.7,1
Al F H O,4.9,5
Al H Mo O Sm,5.0,1
Fe Ga O Pb,4.2,1
B Ge O Pb Tb,3.5,1
B Dy Ge O Pb,3.6,1
Ba C Ca Ce La Na Nd O Pr Sr,4.7,1
B Ba H Na O,4.7,1
Ba C F Fe H Na O Si Ti,3.2,1
Al Ca K Na O S Si,3.5,1
Fe Te Y,4.6,1
Pd Sc Te,4.9,1
C F Na O Y,5.0,1
K O P Sn Ti,3.9,1
Ge Li O P,3.6,1
Ca H Mg O P Sr,4.5,1
As H O Sr U,5.1,3
Er H O S,5.4,8
B Cl H Na O Pb,4.8,1
Fe Mn O P Sb,5.2,1
Al Cl K Li Na O Si,5.5,1
Ce O Si Th,4.3,1
Li N W,4.1,1
B C Li N,4.0,1
B C N Na,3.9,1
B C N Rb,4.1,1
B C N Tl,4.4,1
B C Cs N,3.8,1
B Li O Sr,5.4,4
Cu K S Th,4.9,3
B Ba Na O Sr,4.1,1
Au In Na,4.5,3
H O P Th,5.5,6
Ag In Na,4.6,1
C Mn N,4.1,2
Ge H N Se,4.0,1
H N Se Sn,5.2,1
Na Nb O Te,5.4,1
Al B Ca Na O,3.7,2
Cl N S Te,6.1,2
Cu Na O Te,4.8,1
C F O Ru Sb,5.0,1
In Pb Rb,3.9,1
Am I O,5.4,1
In K Pb,3.9,1
C F O Os Sb,6.0,2
B C F O Os,5.2,1
Cl Cu Er O Te,5.4,1
Cl Cu Dy O Te,5.4,1
Ca Li Sn,4.3,2
Cl Cu Nd O Te,5.3,1
Br Cu Er O Te,5.5,1
Cl Mn O Sm Te,5.2,1
Br Cu Dy O Te,6.1,1
Eu Li Sn,4.5,2
Li Mg Sn Sr,5.0,1
Eu Li Mg Sn,5.2,1
Cs Ga O P U,4.9,1
Cl H K Na Nd O P W,4.6,1
H In O Rb Si,4.3,1
Cs Ga H O P U,4.6,1
Al H N O P,5.6,5
Co H Na O S Sn,3.7,1
Na O S Zn,4.8,2
Ba Cl Fe O Si,4.3,1
K O S Zn,4.9,2
B H O P Rb,5.1,2
Cl Co H Na O Si W,5.1,1
Cl F O S Sb Te Xe,5.7,1
Ce In Ir,4.0,3
In Ir Pr,3.3,1
In Ir La,4.6,2
In Ir Nd,3.4,1
In Ir Sm,3.5,1
Ho In Ir,3.1,1
In Ir Tb,4.0,2
Dy In Ir,4.0,2
Gd In Ir,4.1,2
I K Ti,5.6,1
Br K Ti,6.4,2
C Ce Cl N,4.8,2
Cs I Ti,6.0,2
C Cl N Pr,5.9,1
H I Nd O,5.5,4
Ag Mn O,4.4,4
Cl O Se Tb,5.2,3
Cs I Mo,6.4,1
Ba I Pr,6.0,1
Ge Mn Se,3.9,1
K O Os,4.8,3
K P S Ta,5.1,2
C Cl N Sr,5.5,1
P Rb S Ta,4.6,3
Li S Te,4.8,1
Li Se Te,5.3,1
H Mn N O P,5.4,6
In Pr Pt,4.2,4
Br Nb O Tl,5.8,1
Cl Nb O Tl,5.3,1
Bi I Mn Se,3.4,1
Ca In N,5.0,3
In N Sr,4.8,1
C H Mg N O,5.0,5
H I O Rb Tl,5.9,1
C Cs F O S,5.7,4
Ca N Nb Si,4.1,1
Eu Mo O W,4.7,1
B H Mg O P,5.4,4
Mo Sb Ti,3.5,1
Cu S Sn Tb,4.0,1
Cu Ho S Sn,3.6,1
Bi Li O,5.0,6
Mg Ni Sn,4.5,5
Li O Os,4.3,3
Al As Cl S,5.8,1
O Sb Sn,5.2,1
Al As Cl Se,5.6,1
Cl Co H O Se,5.5,3
H N O Pb S,5.3,3
H K N,5.1,4
B Mg Rh,5.1,3
Cd I O,5.5,1
Fe I N O,5.0,1
C S Se,4.4,1
Cs F H,5.4,2
B Cs H N Na,4.8,1
Ba K Nb S,5.4,1
As Cs Ge Se,4.9,1
F O Re,6.0,3
Co Fe Gd O Sr,4.4,3
Fe Gd O Sr,4.5,6
Al Na O P Zr,4.6,1
C Fe H N O Pb,4.8,2
Br Cl H N Re Rh,4.8,1
H N O Rh,4.8,4
Hf K Mo O Pb,4.7,1
Mo Ni O Zr,3.2,1
H K Na Nb O Si Ti,3.7,1
C Cl H N S,5.7,5
Bi Na Nb O,4.5,3
Co H O S U,4.9,1
C H N O S Se,4.9,1
Ag Eu O Ti,4.9,1
Li O P Sc Zr,4.3,1
Li O P Sc Ti,4.5,1
Al Nb Sb,3.7,1
C Cl H N S Se,4.7,1
C Cl H N Se Te,6.2,2
Br Cr H N O,5.6,3
Br C H N Se Te,5.8,1
C H N O Rb Se,4.9,2
C H N S Se Te,4.9,1
Ag Bi S Se,4.4,1
Ag Bi Pb S,5.3,5
Ag Pb S Sb,5.4,7
As Ti V,3.6,2
Br C H N S Te,5.6,1
Ga H Na O,5.5,1
H O P Sb,5.3,2
H N O Sb,5.4,5
C H Mn N Na O,4.3,2
C Cr K N,4.0,2
Cl H Hg O,5.9,5
H O S Sn,5.6,3
Cd Cl H O,5.7,5
Cl H O Sb,6.0,6
H Mo Na O P,5.3,8
C H K N O S Se,4.9,1
C K N V,3.3,1
Br H N O Sn,5.8,1
Cl Hg O S Tl,5.0,1
Cl Hg O Rb S,4.7,1
As Cr V,3.3,1
H Mn O Se,5.3,10
C N S Se,4.7,1
Cl K Tl,6.7,2
F H Na Nb O,5.1,3
H K La N O,4.7,1
I S Se Sn,5.3,1
Cu H I O,5.5,7
H I N Zn,6.0,2
Ba H O Sn,4.9,4
Ag H N Na Ni O S,4.6,1
C H Ho O,5.4,3
C H K O W,4.8,1
Br C Se,5.7,2
C K O V,4.4,1
Br Hg O,5.2,3
Al Br H Na O Si,5.3,1
Al Br H Li Na O Si,4.5,1
F Na Nb O,6.0,5
Ba Cu O Pt Sr Y,4.4,1
Cu O W,4.0,1
F H N O V,5.9,8
Cs F O V,6.0,2
Au Br H N,5.9,3
Cu F Nb O,4.2,1
As Ir Pt Rh Ru S,3.5,1
Fe La O Sr Ta,4.0,2
Br I N Sr,4.1,1
Cs Hf O W,3.6,1
Cs O Ti W,3.4,2
Cs O Ti W Zr,3.0,1
Ba Li O Ru,4.3,3
Mg O P Rb W,5.1,1
B Ce Ge O,4.8,1
Ba Ca O Os,3.8,1
B Ca Ga O Y,4.2,1
Cl Co O Te,5.5,3
Bi La Mg,4.7,1
Br Co O Te,4.7,1
K Li O Ru,3.7,1
Cu Ge Mn S Sn,3.8,1
Ag Mo O Pr,3.9,1
Ca Co Cu O Sr Y,4.1,1
Cu Gd Ir O Sr,3.7,1
Fe Mo Nd O Sr,4.9,3
Ga Ge Sm,3.5,3
Li Sb Sr,4.2,2
Ba O P Te,5.5,1
Ba C N Na,4.7,2
Co Fe O Sr Y,3.6,3
Co Ga O Sr Y,4.6,1
B Mg Si,4.2,2
Cd Ce Cu O Pb Sm Sr,3.6,1
Cd Ce Cu Dy O Pb Sr,3.5,1
Ba Ca Cu Hg O Pb,3.9,2
H K N O Se,4.6,1
B Co Gd Si,3.3,1
B Co Si Sm,3.1,1
Mg O Pb Te,5.5,2
Br H Hg O,5.2,2
Co La Mn O Pb,3.6,1
Fe La Mn O Pb,4.2,1
B Ge O Pr,4.6,3
Fe N Pr V,2.9,1
B O P Pb,5.3,3
Ca Ce La Mn O,4.3,1
Ca F Hf Li,6.0,1
Al Bi Gd,4.1,1
Ni Sb Sn Yb,3.3,1
Eu Ni Sb Sn,3.2,1
F H K Mn O,5.7,2
Ca Mn O W,3.3,1
Co Mg O,4.0,1
F Mn Rb,6.8,3
Co O Ti Zr,4.2,1
Cr O Ti W Zr,4.8,1
Co O Ti W Zr,4.7,1
Cr O Ti Zr,4.3,1
Co O Sb Ti Zr,4.2,1
Cr O Sb Ti Zr,4.4,1
Fe O Ti Zr,4.5,1
Fe O Ti W Zr,4.1,1
Mn O Sb Ti Zr,4.4,1
Fe O Sb Ti Zr,4.4,1
Mn O Ti Zr,4.6,2
Mn O Ti W Zr,4.5,1
Ni O Sb Ti Zr,4.2,1
Ni O Ti Zr,4.0,1
Ni O Ti W Zr,4.1,1
O Sb Ti V Zr,4.3,1
O Ti V Zr,4.3,1
O Pr Ti Zr,4.4,1
F H Mn N,4.1,1
F H Mg N,5.5,2
Ca Mn O Tb,3.6,2
Ba Fe Mo O,3.4,2
H K O S,5.5,15
K Li O P,5.1,2
Cd O W Zn,3.9,1
Ca Cd Cl H O,6.2,5
In Li Nb O P,4.5,1
As K Mo O,4.9,4
Cl D0+ O Sb,5.1,1
O Os Sn,4.8,1
Al As K O P,3.6,1
As Ce Na O,5.1,1
As Na O Ti,4.4,4
As Cs O V,4.1,1
As Bi Na O,5.4,1
Cs K O P Yb,4.6,1
C Cu H N O P,3.4,1
I O Ta Te,2.4,1
Fe H K Ni O S,4.9,1
Fe Ge K O,4.5,2
Ag C H N O,4.9,6
As H Ni O,5.0,3
C H N O Pt,5.1,3
C Cl H N O Tb,5.0,1
F O Ru,6.5,1
F O Rh,6.5,1
F V Xe,6.4,1
As F Fe,6.0,1
As Co F,6.1,1
F H N O Si,5.5,2
O Pt Sn,4.6,2
Ge O Pt,4.4,1
O Pt V,4.1,2
O Pt Ti,4.0,2
Mn O Pt,4.2,1
O Pt Ru,3.7,1
Co O Pt,4.0,1
Ni O Pt,3.9,1
Br Cu S Te,4.6,1
Al Mg Na O Pr,4.4,1
Ag C F H N O,5.0,3
B C Ca Cl,5.3,2
Ag P Sn,4.1,1
C H Mn N Na O Rb,3.8,1
Cu I P Se,5.5,5
Ce H N O Si W,4.5,1
C H O Re,5.1,3
B C Nb,3.9,3
Cl Cs Cu Na O P,4.8,1
N P,4.7,3
Au F,6.3,1
Au Cs H N,4.7,1
Ge O Rb Si,4.2,1
Ag Ni O,3.5,3
B F,5.7,2
Cl H N Ti,6.0,3
Al Ca Ce Fe H La Nd O Pr Si,4.0,1
As Bi Pb S,5.2,1
Bi Cl Pb S Se,5.0,1
Ag Cu Pd Se,3.8,1
Ca Na Nb O Si Ti,4.5,1
Al Ba H O P,4.9,2
Al Ca Nb O Si Ti,4.3,1
Be Cr O Ti V,3.7,1
Ba H O U,5.1,2
Ca H Mg O P,4.2,3
As Ca H Mn O,5.6,2
Ca H Mn O P,5.5,4
C Ca H O U,4.9,3
O Si Sn,5.2,1
Cu Ge S W,3.9,1
Cl Pb S Sb,5.3,3
Al As Cs H O,4.5,1
Mg Ni Tb,5.3,2
Cl H Mg O Ru,5.8,1
Ca Eu O Sn,3.9,2
Cr Cu Ge O,4.0,1
H Li Mn O Se,4.8,1
Cl O Se Zn,5.7,2
Ag F H N O P,4.9,1
Ba Cl H O Ru,5.2,1
F K Nb O Sr,5.5,1
Ca Cl Ge O,5.4,1
Ca Cl H O Re,4.9,1
B Cd F,6.0,1
Bi Li O P,4.7,1
Ca F H Mg O P,5.2,1
Co F H N O Zr,4.1,1
F H Ir O Sr,5.6,1
Ca F H Ir O,5.1,1
Cr Cu H O Pb Si,4.9,1
Ca Fe O Sc Si,4.6,1
Br Co H N,4.9,3
H Na O Sb W,4.4,1
H K O Sb W,4.2,2
Cl H Mo Na O P Rb S,5.4,1
C H Mn N O,5.2,8
C Co N,4.1,3
Cl Eu I O S Ti,4.8,1
O P Tl V W,4.6,1
K O P V W,4.8,1
Cl Cs Re S,4.2,2
Co H I N,5.4,2
H K Mo O P V,4.4,1
Al B H Mg O,4.7,1
Cu F Ni,5.8,1
Bi H N Na O Sn W,4.4,1
Br Ca In,6.1,1
H O P Rb Sr,4.5,1
As Cs H K Mo Na O S,3.7,1
Bi Br Nd O,5.4,1
Bi Cl Gd O,4.4,1
C,4.3,7
K Np O Si,3.9,1
Bi Mn Sm,3.7,1
H Li Np O Si,3.6,1
Bi La Mn,4.6,1
Ba Fe I S,3.4,1
Al H N O,4.9,5
Co H Mo N O Sb,5.1,1
H Mn Mo N O Sb,4.5,1
H N Na O S U,5.2,1
F K O P Ti,6.4,2
Bi Ca Cd,5.5,2
Ba Bi Cd,4.8,2
Ba F Fe S,4.5,1
Cu Mo O W,4.4,1
C H K O U,5.3,7
Mg Mo Se,4.5,2
B Fe Ru Ti,3.3,1
Ga Gd O Rb Si,4.7,1
Ga O Rb Si Y,4.8,1
Ga O Rb Si Tb,4.4,1
C Cd Cl H N O,5.6,4
C Cd H N O,5.1,3
C Cd F H N,3.5,1
C Cd H N O S,5.3,9
Br C Cd H N O,4.4,1
B C F N Xe,5.0,1
Au K Sn,4.2,3
Au Rb Sn,4.4,2
F Mo O Y,4.6,2
Cd Cs Pr Te,5.3,1
As F H N S Xe,6.1,1
Cd Cs La Te,5.3,1
Cd Cs Nd Te,5.2,1
Cu F Sb Xe,6.2,2
Cd Cs Sm Te,5.4,1
Cd Cs Tb Te,4.5,1
Cd Cs Gd Te,4.4,1
Cd Cs Ho Te,4.9,1
Cd Cs Dy Te,5.1,1
Cd Cs Er Te,5.2,1
B H Mg N,5.6,5
Cd Cs Lu Te,5.2,1
C H K Mo N,4.0,1
Ge O Rb U,4.9,2
Co I La,6.1,2
Sb Sm Ti,3.5,1
Sb Ti Yb,3.6,1
F Mn O Sr,5.2,4
As Eu Li S,5.2,2
H Mo N O P Th,4.8,1
As Eu K S,4.4,1
Ce Cs H Mo O P,4.7,1
Bi O Tc,5.1,2
Al Au Nd Si,3.4,2
Al Au Ce Si,3.4,1
Al Au Eu Si,3.5,4
Al Au Si Yb,3.1,1
Al Au Pr Si,3.4,1
K Nd P S,4.7,4
Cs Nd P S,4.3,1
C H Mg N O S,4.8,6
C Ca H N O S,5.3,4
C H N O S Sr,5.4,4
C H Mo N O,4.8,3
Ba Na Nb O P,5.1,1
D0+ La Pd Si,4.2,1
B F H,4.2,1
B Cl H,4.9,1
Br H O Pu,4.5,1
Cl Pr Ru,5.2,1
C Lu N,2.7,1
C N Tm,4.0,2
H K O P Rb Ti W,4.2,1
Eu F K O Si,5.0,4
F K O Si Sm,4.9,1
H O S Th,5.0,6
F Gd K O Si,4.9,1
Ba In Ir,3.5,2
Ga Ge Ni Sm,4.1,1
B H Li,4.6,2
Sb Sm Zn,5.1,1
Gd Sb Zn,4.6,1
Dy Sb Zn,5.2,2
Sb Tb Zn,4.9,1
Ho Sb Zn,4.5,2
B H Na O P Pb,4.2,1
Br La Ni,4.8,2
Cu Ga Li Mg,4.5,1
Ba Cd Sb,4.4,4
Ba Cd Sb Sr,4.0,2
Ba Cd Eu Sb,3.0,1
Ba Cd Sb Yb,4.1,1
Co Li Nd O,4.7,1
H Nb O Rb Si,4.7,2
Ca H Mn O,4.1,3
H N Na O Rh S,4.9,1
H K N O Pd,4.8,1
Cl O Rb,5.4,3
C Cl H N O Re Ru S,4.0,1
Br Nb S Tl,5.3,1
Ba In Mo O,2.8,1
Fe Li Mg O P,4.8,2
Al Fe Li O P,4.2,1
Fe Li Ni O P,3.6,1
Bi Nb O Zr,5.1,1
Bi Nb O W,4.7,1
Cr Ni O Pr Sr,3.1,1
Bi Er O Pb,5.2,1
Ca Li O Ta Ti,4.2,1
Bi Nb O Y,4.2,1
Mo Nd O Tl,4.7,2
Au Cl H N O Ru,5.3,1
Au Cl H N O Rh,5.7,1
Au Cl Cr H N O,5.9,1
Al H K Na O S,4.4,1
Co La Mn O Sr,3.7,5
Ba O Sn Ti,4.0,2
C H K N O S U,5.0,2
C Cr H K La N O S,5.3,1
Fe Na O P Ti,4.7,2
H Na O Se U,5.3,4
Al Cs Li O P,4.7,1
Ba H O Si W,5.2,3
B H O P Zn,5.6,2
Cl Cu Eu O Se,4.3,1
Cl Cu Ho O Se,4.2,1
Cl Cu Dy O Se,4.2,1
Cl Cu Er O Se,4.1,1
Cl Cu O Se Yb,4.1,1
Br Cu Nd O Se,4.9,1
Br Cu Gd O Se,4.8,1
H Na O Si Sm,4.3,2
B Li Si,4.3,2
Ca Ni Sn Sr,2.7,1
Ba Br Cu O Te,6.2,1
Ca N Si Sr,4.2,1
Al Eu O Sr,4.8,5
Ba O Rb V,4.3,1
K Na O S U,5.3,1
O Se Si,5.1,1
Cu K Nb P S,4.0,1
Ba Ge N,4.3,3
B Ca D0+,4.7,1
C Fe H O Se,4.9,1
C Cd H K N O,4.5,2
Ge H K O Ti W,4.8,1
Ge H K O S Ti W,4.2,1
C Co H O S,5.3,2
Br H Hg N,6.2,6
H Mg O V,5.2,3
Cr Er H Mo O,4.8,1
H O V Zn,4.4,4
Ba Ca Mg O Si,3.9,1
Eu La O Zr,4.8,1
Eu La O Sn,4.8,1
C Fe N Sr,4.1,1
C Fe La Yb,3.7,1
H K Mo N O P,4.7,1
H O P Rb Sc,4.6,1
B Ir Mg,3.9,2
H N O P Sc,5.3,1
Br Hg In Sb,5.0,1
As Eu O,4.5,1
Ga Sb Yb,3.7,1
H Mn O S Tl,5.4,1
Co H O S Tl,4.8,1
Co H O Se Tl,4.8,1
H Ni O S Tl,3.8,1
H Mn O Se Tl,5.2,1
H O S Tl Zn,4.3,1
H Mg O Se Tl,4.7,1
H O Se Tl Zn,5.4,1
B Co H Mn O P,4.6,1
H Ni O Se Tl,4.8,1
Cu H O Se Tl,4.8,2
Cu Sc Se,3.9,2
Al Ba Eu Mg O,4.9,1
Ag Ce H O W,4.4,1
B C N,4.3,3
Co Ge H Na O W,4.3,1
Ag Eu O P,5.3,1
As Mo Na O,4.9,4
Cu Np Se,5.2,1
As Cl O Sr,5.3,1
Al As Li Mo O,4.8,1
Br C H Hg N,4.8,1
H K O P Pt,4.8,2
Cu F Fe H O,4.7,2
Er Ge Mg,4.8,2
Ge Mg Y,4.2,2
Cs H Mg O P,4.8,2
Cr Nb S,4.2,1
As Cs H Mg O,3.5,1
Gd Ge Sc,4.4,3
Cu Ge H Na O,4.6,1
As K O V,4.7,2
H N O P Pb,5.5,2
Ho Na O Si,5.2,2
O Rb Sb,5.4,4
B Cu H Li O P,4.9,2
B H Li Ni O P,4.3,1
Ga H K Ni O P,4.1,1
C H Hg I N,5.3,2
C H K O S Tb,4.7,1
F H O Sr V,5.8,1
Fe Ge Ho O Y,3.1,1
C Cd H N S,4.5,2
Ga H N O,5.0,2
Dy H I O,5.9,3
Hf K O P Y,4.8,1
Bi Cs O P W,4.9,1
As K O V W,3.8,1
Cs Eu O P,5.4,2
Br C Fe H O,4.2,1
K Mo O P Sm,4.2,1
Fe O Pr,3.9,1
Ba Br Eu I,5.8,1
B Br Fe O Zn,4.5,1
C H K Mo N O,4.4,4
Eu F K Li,6.8,1
F K Li Pr,6.4,1
Na O P Sc,4.8,1
O Rb S W,5.0,1
Au C Co H N O,4.3,3
Al Au Eu Hf,3.2,1
Au C H Mn N O,4.8,2
Au C Fe H N O,4.2,2
Al Au Sr Ti,3.5,1
Al Au Ca Zr,2.9,1
Al Au Ti Yb,2.9,1
Al Au Ca V,2.7,1
Al Au Cr Eu,2.8,1
Al Au Ta Yb,3.0,1
Al Au Ca W,2.8,1
Ag C H N O S,5.2,1
K La O Pt,4.4,1
Ag C Cl H N O S,4.0,1
K O Pr Pt,4.4,1
Ce H Na O W,4.9,2
H Lu Na O W,4.6,2
H Na O W Yb,4.7,2
Bi Nd O Rh,4.0,1
Bi Eu O Rh,3.9,1
Bi O Rh Y,4.2,1
Bi O Rh Sm,3.9,1
Eu O Rh,4.0,1
Gd O Rh,3.7,1
Bi Er O Rh,4.8,1
Ho O Rh,3.2,1
Bi O Rh Tm,3.8,1
Bi Lu O Rh,4.1,1
Cl La Nb O Rb,4.3,1
Cl Cs La Nb O,3.8,1
Cs La Nb O,5.4,2
Am O Zr,2.7,1
I La O Pb,5.4,1
Au Ca Ge,4.2,7
I Nd O Pb,5.4,1
As Ce Se,3.8,1
H K N P,4.1,1
H N P Rb,4.7,1
F Sb Y,5.3,1
Ba Ga H O,4.8,1
H K Mg O U,4.3,1
Al B H N O,4.1,1
As H La O S V,4.6,1
As H O S Sm V,5.2,1
As Ce H O S V,5.0,1
Al B H K O,4.5,2
C N O Tl,4.9,3
Co Eu In,4.0,1
As K Se Sm,5.6,1
As Gd K Se,5.1,1
C Gd H N O W,3.7,1
C Eu H Mo N O,3.9,1
C H Mo N O Tb,4.0,1
C Eu H N O W,3.9,1
C Gd H Mo N O,4.3,1
C H N O Sm W,4.2,1
C H N O Tb W,4.0,1
C H Mo N O Sm,4.1,1
Ce Cr La O,3.7,1
C Os Sc,3.4,1
Cu Ga O Se,5.4,3
Al S Si Sm,3.8,1
Ge H Mo Na Ni O,3.8,1
Co Ge H Mo Na O,3.7,1
Br C H N Pb S,5.8,4
Bi Gd Si,3.6,1
C H I N Pb S,5.0,1
Cu K Np S,5.1,1
Cu Np Rb S,4.0,1
Ag K Np S,4.2,1
Cu Mo O Se,5.1,1
Ag Cs Np S,4.1,1
Co H Mo O Se,5.0,1
Mo Ni O Te,4.3,1
Ba D0+ Ge In,5.2,1
F H K N O P Ti,4.7,2
H Mg Na Ni,4.5,1
C Gd H O P,5.2,1
Bi C F H O Pd,4.9,1
C Eu H O P,5.3,2
Eu Ga Ir,3.0,1
As Gd Mn Na O,4.3,2
Cd H K O S,5.3,3
O S U Yb,4.0,1
F Na O Rb Si U,4.9,1
Ga H N O S Sb,5.2,1
Al Br H Li O,4.7,2
Ba F O P U,5.2,1
N Nd O Zr,4.9,1
Ca K O Si,5.0,5
Cl H O Th,5.2,2
B Fe H O,4.7,6
Ag Ge S Sm,4.1,1
Ag Ge S Tb,4.2,1
Ag Dy Ge S,3.3,1
Co K Mo O,5.4,6
Ga La O Ti,3.6,2
Cs Mg O Si,5.3,1
Mg O Rb Si,4.7,2
Cs O Si Zn,5.1,1
O P Sn Sr,5.1,1
Cl H Mo N O P,3.5,1
Ga Mo O Se,4.9,1
Ga Mo O Te,5.5,1
Ag Mo O Te,4.9,1
Cs F H O V,5.9,4
Ce Cs F H O,6.0,1
As Ce F H N O,5.1,2
As Ce F H O,4.7,1
C Cr H O,4.5,3
C Ce H N O S,4.9,2
C H N Nd O S,5.5,1
C Eu H N O S,4.9,1
C H N O S Yb,4.4,1
C Cs Dy H O S,5.3,1
Co H N,4.3,3
Ce F Mn N,3.5,1
H K Mg Na O Si Sn,5.3,1
Ca H K Na O Si Sn,4.5,1
Bi Fe Gd O,4.3,3
Ag Cu Ge Se,4.4,1
B Ce Pd,3.1,2
B C Dy Si,3.3,1
Ba Co Fe O Sr,3.6,2
Al La O Pr,5.0,3
Co Ga La Mg O Sr,4.1,3
Nb P S Ta,4.5,1
Ge Mn O Si,4.0,1
Cl O Pb V,5.2,1
C H O Pr,5.6,3
H K Mo Na O Pt,4.3,2
Co H K La Mo O,4.0,1
C Cl H O,5.5,2
K Mg Nb O P,3.3,1
Br H O Sn,5.5,3
H Mo N Na O P,5.3,1
Eu Ga Rh,3.4,1
Bi In Pb Se,5.1,1
As La Mn Na O,3.8,1
H Mn Na O S,4.5,4
Cl Cs N O Pb,5.4,1
Cd Li S Sn,4.9,1
O S U Y,3.9,1
Co K O,5.7,8
Cs F K O Si U,4.9,1
Ga H N S Sb,5.0,1
Al Cl H Li O,4.7,3
N O Pr Zr,4.3,1
N O Sm Zr,4.1,1
As Fe H Mo N O,4.9,3
Fe La S Sb,4.4,1
As F Fe H O,6.1,2
C F H O S Th,5.2,2
Ag Ge Nd S,3.8,1
Ag Gd Ge S,4.2,1
Ag Ge Ho S,5.1,1
Ag Er Ge S,5.0,1
Ag Ge S Y,5.1,1
As Au Ce,4.6,2
As Cu Gd,4.4,1
B Be F O Tl,4.9,1
Cl Cu H O,5.7,8
C Fe H N Nb O,4.5,1
In Mo O Te,5.2,1
C Cr H K O,4.9,4
B H K O Sn,3.9,1
H N S Si,4.5,1
Ag C H N S,4.4,3
