phases,max energy gap,n compositions
Ge Pt,3.6,1
Ce Ge Ru,4.2,3
Ce In Pd,4.4,14
Mn P,4.1,3
Ce Mn Sb,2.9,1
Ce O Zr,4.9,5
Ce Pd Si,4.3,9
Ce Ru Si,4.2,5
Ce Si Y,4.4,7
C Fe Mn,3.0,2
C In Ti,3.4,2
Cl Cs Ho,6.6,6
Cl Cs,7.3,1
Cl Ho,6.4,2
Cl Ho K,5.9,1
Cl Ho Rb,6.6,3
Cl K Mg,6.7,5
Cl K Pb,6.5,5
Co Cr Fe,3.3,1
Co Cu O,4.2,3
Co Er Sn,3.9,5
Er Sn,3.9,3
Co Ge Nd,4.0,4
Co Hf Sn,3.9,1
Co La Ni,3.5,1
Co La Zn,4.1,8
Co Mo O,3.8,2
Co Nd Sb,4.7,3
Co Ni Si,3.4,2
Pr Si,4.1,4
Co Pr Si,3.6,3
Co Se,4.4,6
Si Sm,4.2,2
Co Si Sm,3.9,6
Cr Fe N,3.2,1
Cr Ge Nd,3.6,2
Cr Mn P,4.1,3
Cr Nb Si,3.5,3
Cr Sb,3.6,2
Cr Nd Sb,3.9,1
Cr Ni Zr,2.6,1
O Si,5.7,59
S Yb,4.0,5
C Sc Ti,3.5,1
F La,6.6,2
C Si Ti,4.5,3
C Si U,4.6,1
C Ta W,3.3,1
C Ti V,3.4,2
Cu Dy Pb,3.9,2
Cu Er Sn,3.3,1
Cu Eu O,4.0,2
Eu O,4.9,2
Cu Mg Ni,4.1,2
Cu Nd Pb,4.5,2
Nd Pb,4.5,3
Cu Nd Si,3.7,2
Cu Nd Sn,4.3,6
Cu Ni Sn,4.3,5
Cu O Sb,4.6,2
Cu Pb Y,4.6,1
Cu Pr Sn,4.3,4
Cu Sb Ti,3.1,1
Sb Ti,3.9,6
Cu Sm Sn,3.4,1
Sm Sn,4.9,8
Cu Sn Ti,4.0,3
Cu Sn Yb,4.0,6
Dy Fe Si,3.5,5
Dy Si,4.6,5
Dy Ni,3.1,2
O Rh,3.8,3
Eu O Y,3.9,1
Fe Ge Nd,4.1,1
Fe Mn Si,3.9,2
Fe Nb Sb,3.4,2
Fe Nd Sb,4.8,5
Fe Ni Sb,3.8,1
Fe Ni Si,3.1,2
N V,3.6,1
Fe Pr Sn,3.2,1
Fe Pu,3.8,1
Sb Sr,5.5,7
Fe Sb Zn,3.5,2
Fe Sb Zr,4.4,2
Sb Zr,4.3,8
Fe Sc Si,4.2,5
Fe Si Tb,3.8,5
Si Tm,3.6,1
Fe Si V,3.8,1
Fe Sn U,3.0,1
F K La,5.2,2
F La Na,5.2,1
F La Rb,6.0,2
Ga Y,4.5,4
Ge Y,4.3,9
Ga Ge Y,4.4,12
Ga Hg Te,5.4,3
Ga In Ni,3.3,1
Gd Ge Ti,3.4,1
Gd O Zr,4.6,1
Ge Ho,4.0,9
Ge Ho Pd,4.0,3
Ho Pd,2.8,1
Ge Pd,2.7,1
Ge Mn Nd,3.4,1
Ge Nd Ni,3.9,2
Ge Os,3.8,1
Ge Nd Ru,4.0,2
Ge Pd Sm,3.8,5
Pd Sm,3.9,3
Ge Sm,4.6,5
Ge Pt Yb,3.6,3
Ge Sb Te,5.9,11
Sb Te,6.2,8
Ge Sn Te,5.5,3
Ge Tb,4.3,8
Ge Tb Ti,3.5,1
Hf Ni Sn,3.2,1
Hg Se Sn,4.9,1
H Mg Ni,3.6,1
Ho In Pd,3.2,1
In Ni Sb,3.2,1
In Pb,4.2,2
In Pb Se,5.0,1
In Pd Tb,3.6,3
Pd Tb,3.4,2
In Pd Sn,3.6,2
K O Si,5.1,5
La Mn O,4.3,9
La Ni Ti,3.5,1
La O Sr,4.2,1
Li Mg Si,4.8,3
Mg Ni Si,4.0,3
Mg O Si,5.4,11
Mg Pr Yb,4.5,4
Mn Mo P,3.8,3
Mn Nd Sb,3.1,1
Mn O Si,5.2,5
Mn O Sm,4.1,3
Mn O,4.4,9
Mn O Sr,4.4,9
P Re,3.2,2
Mn P W,4.1,2
Mn Sb Ti,3.7,1
Sb V,4.0,4
Mn Si Sm,4.0,2
Mn Si Tb,5.0,5
Mn Si Tm,4.3,4
Mn Sn Ti,3.9,1
Mo Ni P,3.1,3
Mo P,4.3,2
P Zr,3.9,2
Mo Ru Si,3.1,2
Nb O Pb,4.8,5
Nb Re Se,4.4,1
Nd Ni Sb,4.0,4
Nd Ni Si,4.4,10
Nd O Pd,4.3,1
Nd Ru Sn,3.8,1
Nd Sb Zn,3.9,1
Nd Sc Si,5.4,2
Ni O Sb,4.7,2
Ni Pd Si,2.8,1
Ni P Yb,3.1,1
Ni Yb,3.1,2
P Yb,4.0,2
Ni Re V,3.4,1
Ni Si Ti,4.0,1
Pb Sr,4.9,7
O Pb Sr,4.9,2
O Sc Zr,3.5,3
O Si Ti,4.6,2
O Ti V,4.8,10
O Y Zr,4.3,3
Pb Se Sn,5.2,2
Te Tm,6.1,2
Pd Se,4.3,5
Pd Si Sm,4.0,5
Pt Te,4.9,2
Pt Sb Te,4.1,1
Ag Al Gd,3.3,3
Ag Al Sm,3.2,3
Ag Sm,3.4,1
Ag Al Tb,3.5,3
Ag Bi Se,4.9,3
Ag Se,4.1,4
Ag Ce Ga,3.5,2
Ag P,4.1,1
Ag Ce P,3.5,1
Ag Ce Si,4.4,2
Ag Dy,2.7,1
Ag Cu S,3.9,5
Ag Dy Sb,3.9,1
Ag Eu Ge,4.2,3
Ag Eu,3.6,3
Ag Ga Se,4.5,2
Ag Ga Tb,3.3,1
Ag Ga Y,3.1,1
Ag Ge La,3.9,3
Ge La,4.5,10
Ag Ge Li,4.4,5
Ge Li,5.0,8
Ag Ge Y,3.8,2
Ag In Se,5.1,3
Ag In Zr,3.6,1
In Zr,4.1,3
Ag La Si,3.9,3
Ag Li Si,4.2,3
Nd P,4.3,2
Ag Sb Y,4.0,1
Al Ba O,5.4,5
Be Sm,4.5,1
Al Br La,5.6,3
Br La,6.9,4
Al Ca Cu,3.6,5
Al Ca Ga,4.9,5
Al Ce Ge,4.2,3
Al Ce Si,4.2,5
Al Co Ru,3.0,1
Al Co Sc,3.8,2
Al Cr Yb,3.2,2
Al C Si,4.1,2
Al C Y,4.5,6
Al Dy Ti,3.3,1
Al Er Ge,3.7,6
Er Ge,3.9,8
Al Er Mn,3.4,2
Al Er Ti,3.2,1
Al Fe La,3.2,2
Al Fe O,4.3,3
Al Fe Pd,3.0,1
Al Ga Y,3.8,3
Al Gd Mg,5.1,3
Al Gd Mn,4.1,3
Al Ge Pr,4.4,3
Al Ge Tb,4.2,5
Ir Ti,3.5,1
Al K O,5.2,7
Al Li Si,4.4,3
Al Li Zr,4.0,2
Al Mg Sc,4.8,3
Al Mg Sr,4.4,1
Al Mn O,4.3,1
Al Mn Tb,2.7,2
Al Mn Yb,3.3,2
Al Na O,5.1,8
Na O,5.3,5
Al Nd Si,4.9,6
Al Nd Ti,3.6,2
Al Ni Pd,3.1,1
Al N Zr,3.9,1
Al O Ti,4.8,4
Al O Y,5.4,3
Al Pr Si,5.0,9
Al Pt,2.9,4
Al Pt Ru,2.6,1
Al Ru Sc,3.9,2
Sn Y,5.1,6
Au In,3.5,2
As O,5.4,5
As Cd O,5.0,3
As Co,3.7,3
Cr Se,4.6,5
As Se,5.3,4
As Fe O,5.0,7
As Ga Si,4.6,1
As Hg O,5.1,5
As Mn O,5.2,4
Au Co Sn,3.3,2
Au Nd Pb,4.2,1
Au Ni Sn,4.3,3
Au Sb Sn,3.0,1
Ba Br Cs,6.2,2
Ba Er S,3.6,1
Ba F Hf,6.1,1
F Hf,5.5,1
Ba F Zr,5.7,2
F Zr,5.5,1
Ba Gd S,4.2,3
Gd S,4.3,3
Ba Nd O,4.5,1
Ba O Sr,6.4,1
Ba O Ti,5.0,21
B Bi O,5.6,8
B C Gd,4.3,3
