phases
Gd Nd Ni
Co Mg Zn
B Cr N
Br Fe Ir
Lu Ni Pu
Pm Si Yb
Co Hg Sc
Mg Pu Tl
Pd Rh V
Ba Lu Pa
Er Hg O
Br Pb Sm
Ca Np Sb
Br P Tl
Ce Pt Tl
Cs Nb Nd
Cl K Ta
Ho Np Sr
Gd Nd Zn
Ag Cs W
Au Br I
As Hf Sc
Mn Pd Se
Bi Mg Mn
Eu Sm Tl
B F V
Mn Mo N
Cd Se Yb
Au Nd Th
Cd Pa Pu
Ac Hf P
Ca Mo Yb
Be Os S
N Pm Ru
Hf Mg Sn
In U V
Gd Pt V
Be Pm Sr
Cs Cu Xe
B Dy Kr
Au Pd Y
Rb S Tl
Gd Hf W
Bi Cr Eu
In Nd Rh
He Si Tc
As B Cu
La Ni Pm
Ni Tb Tm
Au N Y
Li Mn Sn
In Na Zn
Ga Mo Pm
He K Na
Br Hg Pr
Hf Lu Os
Rh Ta Zn
Dy Pm Sr
Cs Os Pu
Mn Re Sc
Li Tm Yb
Al Ba Nd
Gd Ni U
Cs Sb Ti
Ce Mn Yb
Ga Lu N
Ca Nb Ni
Br Li Pm
Kr P Ta
He Kr Pu
Ac Ge Zr
In La Yb
Nb Si Xe
Kr Mo Sc
Er Ga Ir
N Np Ta
Pa Pr Y
Cu Sb Xe
Pu Sc Ti
B Bi Tc
Np Tb V
Ge He Lu
Ac Eu Tm
Be Br Te
In Pm Pt
Ac Au Cs
F I W
Rb Ru V
I Na Ti
N Tm Zn
Ca P Pr
F Hg Nd
Mg Mo Ru
F Ho Te
Cr Mg Os
B Ga S
Bi I Zn
Co Nd Os
H Re Tl
Tc Th V
Hg Ni Xe
Cd Eu Gd
Ir Li Sm
Al Ge Pr
Br Ce O
Er Kr Th
Cs Dy P
Cs Mo Tc
I Os Pm
H Rh Tm
As Np Xe
He Pb Sn
Cr Pd Tl
F He Lu
Pr Re W
I N Sc
Au Co Si
F Os Te
Au Pa Sb
He Np Te
Pt Re V
Ba Hg Tm
Bi Mn Np
Au Fe Pa
La N Pu
Rh Tc U
Mo Nb S
Dy La S
Fe Ge La
Ce He Rh
Ce Mn U
La Pu Tc
In P Yb
Pa Rh Tc
Ca Hf Y
Cl La Si
Ge Re Ti
Cu N Se
Pt Th U
Ac Br Pt
K Sb Ta
As C U
As Mo Sc
Co H Ni
Ce Np Os
As Cl Sb
Cu H Y
H Pt Si
Pd Pm Xe
Mn O Rb
Ba Sb Sm
K Lu Mo
Ga Nd Ru
Hf Pb V
H Pa V
Co P Sr
Li Ta Tb
Br Er Y
Kr Li Mn
Os W Yb
Au Hg Pr
Ca Sr Tl
Cs Dy Mn
He Hf Ta
Ge Li P
Cu Sb Tm
Ge Li N
Au Cu Li
Se U Zn
Ac Rh Y
Kr Ta Y
Be F Pb
Kr Mg Tb
As Sc Sm
Ba Co Sb
Ac F Pr
Kr Sc Tm
Rh Se Yb
F Gd Y
N Pb Sb
Pd Re Xe
As Pm Pt
Re Sb Ti
Fe H Yb
Pt Sb Zn
Gd Pt Ru
Au Ge Mo
Cl Mn Tb
Ag Rh Ru
Ce Cs W
Cu Eu P
Er Mo Rb
As Mo Na
Cr Pt Sb
Hf Li Sr
Mn Os Pd
Cu Tb Y
Ca P Sn
Ba H N
Ac Mn Y
N Os Tc
Ag Sm Tm
P Sr Zn
Gd Tc Zr
Ca V Zr
Cr H Ir
Th Tl Zr
Cs Na Te
Al Be Tb
Fe K Pa
Au Cs Th
F Ru Zn
Er Rb Yb
Ba Pm Th
Ga Pd Zr
Fe Hg Xe
Br Si Te
Mo Pd Sr
Cs Re S
Cl Mn Zr
Ag Pd Sr
Ba Cs Pu
Nb Rb Sc
Ac Ge U
S Tl U
Nb Ta V
Pb Rb U
Cd Nb Y
La Rh Tm
C Hf O
Ca I Pa
Hg S Ti
As Br Hf
Ag Ho O
As Ru Y
Sm Sn Tc
Pm Re Sb
Be Hf Tc
Ba Er Ho
Bi Pr Te
Na Pu Sc
Eu Si Sr
Cr F Ir
Ni Ru Sn
Mg Pm Tb
F Fe Pb
Os Sc Tl
B Ba Zn
Ce Fe O
Al Bi N
K Ni Sc
Al Fe Li
Si Sm U
Ag Bi In
Bi Cu Kr
Ba F Mo
I Mg Mo
Pm Rb Tc
H Tl Tm
Gd Ho K
He In K
Cd F La
Cd O S
Hg Ni Si
Ir Lu Nb
Ag Ho Tl
Ac B Lu
P Tc Y
Co Np P
Bi Tb Ti
Pu Yb Zn
Bi Ge Si
Cd O Pt
Lu Pt Te
B Br Si
Au Be Li
B Lu Np
Mg Si Sm
P Ta Tl
Ir Os S
Ba Kr Se
La Mg Zn
As Pb Zn
K Se Yb
Ti Tl V
Fe He Pm
Mn Na Pm
Al Cd Sn
Al Pt Tm
C Gd Kr
Ca Cs U
Ho Tl Y
B Rb Tb
Au Cu P
Cu Ho Ir
Hg Pu Tb
Cu Th Y
Cu Tl U
Sc Si Xe
F Np Sn
Li N Y
Nb Si Ta
B Ho P
Ge Ru Sc
Au B W
Cl Cu U
Ru S Se
Al Cl W
Hf P Sm
Cs He Sr
Cd Se W
K O Te
La Mn Tl
Ho Tb V
B Mo Pt
Cs Tl Zn
Cr Mg Mn
As Hg Pa
Cl Dy Nb
Al Os Zn
Bi Pa Th
Ac Mg Rh
Lu Mg Sb
Ca La Ru
I Pu Si
B Sn Ti
Ba I La
H W Zr
Ho Os Zn
C F Kr
Al Cs I
Dy Li Sr
Ac Hf Yb
Bi Br O
Pu Sr W
Ag Lu Na
Cr Lu Sm
Ge Ta Tm
Br Fe Pm
Be Cs Rb
Pu S Zn
C H Si
Au Mo Pa
Ag Au Te
Mn Rb Y
Cs Hf Nd
Au Kr Pr
Ir Mn Rb
Ga Gd U
Er Hf Ir
Bi He Na
Ge Mg Pr
Cs Er O
Cs Cu Dy
Ag Hg Pt
Ba Pa Zn
Gd I Zr
B Co O
Rb Sc U
Hg Pr Si
Ce Ni Yb
Au Pb Sn
Au Ga Ge
Fe Nd Rh
Hf Nd Re
B Eu Hg
Hf Pd Ti
I Pm Ta
Eu Pa Zn
Na Sm Ta
Cd Tc Tl
Ir Pr Sm
K Nb Re
Gd Nb Pb
Pm Se Yb
Ag Co Lu
Cd Cl He
Re Te Yb
Dy Er Se
Ag Al Ni
Ca Pb Rb
Ca Dy In
Cl He Nb
C Hg Na
B Ru Si
Al Gd W
Eu Na Ru
Ba Dy Ga
Ag Y Yb
Ce Nb Sc
Pr Si Te
C Te Th
Cd F Zr
Kr Se Te
Hf Os Zn
Lu Rb V
F Ge Ti
Pm Sr Yb
Ca Lu Ni
Ho Np Xe
Ge Nb Tl
Nd Ni Tl
Ac B Ge
In Os Pt
Ir Mo Pd
Al Ba Dy
Ga Np V
Er K S
Cd Np Xe
Pd Se W
Mg V Y
Hg Ni S
Ba Co P
Gd I Pt
Bi Ir P
C Ce Cu
Ge La Mg
Gd Sr W
Cd Co La
Pt Si Te
Nd Rb Y
Br Os W
Ac Kr Li
Dy Ir Mn
Ac Re Tl
Lu Sc Sr
Cd Kr Tl
Fe K Ni
Ni Pu Ru
Al Li Pr
Eu Li Pb
B Na Tl
Au Na U
Na Sm Tl
Er N Rh
Be Ga Tl
C Ga O
Au B Hg
La Li Ni
Nd Np Si
Al Kr Pu
Cs Ge Os
Al H S
In O Xe
Ca Cl Ir
Fe Ho Pm
Mg Sr Y
Au Br Np
La Zn Zr
Al La P
Au La P
Cl Fe P
Co Rb Y
Nb Se Tb
Lu Mg Pa
Ir Xe Y
La Yb Zr
Eu Si Te
Cl La Nb
Cs Mo U
Ga Na S
Ir Mg Th
F Mo Sr
Al Ir Na
C Ce Cr
Cl In Mo
I Pd Ti
Ba Cr Np
K Mg O
H Rb Re
Ag He Xe
B Rb Y
Gd Nb V
B H Sc
Br Lu Y
Ca Lu S
Gd Sc Tm
B Cr Sr
Fe Pt Tm
Hg Pb U
Al Cu V
Pd Pm Zr
As O Pu
Ca Cs In
Cs Kr Ni
C Eu Yb
Ce Np Zr
I K W
Co Rh Ta
In Kr Li
Be Na Sm
Np Pa Pm
Ir Rb Tc
Pu Th U
Al Pu Sc
Ir Os Zr
Ge Li Pb
Ac Ni O
Na Os Pa
Gd Ge Ti
F P Tc
N Pb Th
Ac Co Zn
Ac Lu Pb
B Nd S
Dy Hg Pb
Nd Sc Te
Eu Nb Pr
Ba Pa Tc
Lu Re Te
K Mo Tc
Ca Ga Zr
Au Pa Pu
In Te Y
F Pa Zr
Ge Hg Re
Br Cl Li
Be Ir Tl
Hf Pr Sb
Br Cu Pb
Ni Pm V
Ir Sc Ta
Ag As H
Ir Pb Ti
Mo O Se
Ga Re Te
Cs He Pu
Ac As U
Ca Sc Sm
Nb Np Pd
K Rh Y
N W Xe
As Cd Ho
Ce Cs Li
Er Hg Tm
Au Th Zr
Bi Cu Na
I Tb Y
Bi La Ta
Au He Li
Nb Sr U
C Fe Pu
Nb Os S
Gd La Nb
Ce Pm Se
C Sn Tb
Gd P Pu
Na Re Te
Ag O Te
C Np Ta
Cl N Pt
Re Sn Tc
Li Lu Na
Mg Na Rh
Fe H In
Ce Tm Y
La Nb Th
F Se Tb
Ba Kr Pr
Br Re Ru
Ac Co Li
Ho N Zn
Ce S V
Lu N Zr
B Ga In
Ho Os U
Rh Sr Xe
Al Cl K
I Re Sc
Tb Th Y
I Li Pa
Co I Tc
In Pm Se
Na Ta Yb
Mg Sm Y
Ce F Zr
Br Er Sr
Kr Mg Pu
Cl Cu Tl
Lu Pb V
Ho Tc Zn
Ce Gd Tm
Cu Hf La
As N Sc
Ir Lu Nd
Cl Pr S
Ga Pm Pt
Fe Os Ru
I Kr Tl
K Ru Tm
Kr Ni Xe
N Se Y
Ca Pd V
Gd Hf I
Ga Li Re
Bi Hf U
Ag Te Zn
Hf Lu Re
Kr P Rb
Hg Mn Zr
O U Xe
Al Nb Ru
He Ho Ti
B Dy O
Cd S Tm
Ce La Pb
Ac Au Ta
F Ga Rh
Cu Se Si
Hf Mo Sm
Ce Fe K
O Sc Se
Ho Mo U
Mo Pt Si
Dy Os Rh
Cu Pu Th
C F Sc
As Ce Pa
Eu Pm Re
As F Pr
Ge I Nb
Ca Fe K
Hg In S
Ag Hg N
H Lu Ru
Na Nb Np
As Dy Sm
As K Sr
Ir Na Si
Ge Zn Zr
Fe Nb Pm
Os Tc Y
Fe Sr Ti
Cd Hf Zr
Cl Nd Os
Er I Se
Li P Pa
F S Sb
Fe Ge Zn
Ac P Te
Au Mn Tl
Cs Re Tm
C Ce Np
C In W
Be Ce Dy
Ce Cl Hg
K Kr N
Ho Nb Pb
Ag Mg V
I Ru Tl
Co I La
Bi Mn N
Lu Pr Te
Gd Hg Tc
Eu F Tc
As Br Ta
Cr Cu He
Cr Si U
La Tl Tm
As C Mg
Be Sb Ti
Br K Np
Au F Pt
Cr I N
C Pa Si
Li Lu Ti
Bi Hg Ti
Cr H Os
