,phases,max Tc,n compositions
1640,Ca Co O Pr Sm,90.0,5
1641,Co Cr Y,186.0,2
1642,Ba Ce Co Gd O,220.0,1
1643,La Mn Na O Pb,85.0,1
1644,Fe Nd O Sr,38.0,3
1645,Bi F Fe O,71.0,2
1646,Ca La Mn Nd O Sr,155.0,1
1647,Ba O Ru Y,4.5,1
1648,Ba Cl Cu O,75.0,4
1649,Ga Ho Mn O,44.0,10
1650,Fe Mn Nd O,40.0,1
1651,Mn Mo O W,14.2,1
1652,Ni O Sc Sr,270.0,1
1653,O Ru Sr Tb,32.0,1
1654,O Re Tb,5.0,1
1655,Ga Mn O Sr,110.0,2
1656,Mg Mn Nd O Sr,50.0,2
1657,Ba O V,123.0,2
1658,Cr Fe La O,550.0,1
1659,Cr Mn O Y,37.0,3
1660,Ca Ho Mn O,105.0,3
1661,Ga Pt Tb,2.0,1
1662,Ca Er Mn O,28.0,1
1663,Ca Mn O Yb,21.0,1
1664,Ca Lu Mn O,30.0,2
1665,Ca Mn O Tm,25.0,1
1666,La Mn O Sr W,25.0,1
1667,H Mn O P,15.0,1
1668,Cr Te Ti,52.0,1
1669,H Mn O Se,14.0,1
1670,Ce Ga Pd,5.0,2
1671,Al Si Tm,2.9,1
1672,Ca Mn Nd O Sr,200.0,5
1673,Cu Ga Gd,12.0,1
1674,Er Ge Mn Nd,25.0,1
1675,Co Ho Y,85.0,3
1676,Co Nd O P,14.0,1
1677,Co O P Sm,40.0,4
1678,Ce Mg Pd,2.1,1
1679,Gd Mg Pd,93.2,2
1680,Ag Gd Mg,30.4,2
1681,Ce Co Cu O Sr Y,48.0,1
1682,Ni O Sm Sr,192.0,2
1683,Ca O Ru,48.0,3
1684,Ba Mn O Y,165.0,2
1685,Er Fe Mn O,75.0,2
1686,B C Co Er Ni,2.0,1
1687,Ca Mn Sb,85.0,1
1688,Dy Fe Mn Tb,245.0,1
1689,Cr Fe Ru Si,42.0,1
1690,Ba Co Dy O Tb,260.0,1
1691,Dy Ge In Ni,11.0,1
1692,Ge Ho In Ni,4.0,1
1693,Ga Gd N,70.0,2
1694,Cr Na O Si,3.6,1
1695,Ba Cu O Si,3.62,1
1696,In Nd Rh,4.9,4
1697,Ba Mn O Pr,270.0,3
1698,Ca Cr Mn Nd O,150.0,1
1699,Co Fe S,200.0,1
1700,Co Eu Si,21.0,1
1701,Ba O U,19.0,1
1702,Eu Fe P,26.0,1
1703,Fe La Rh Si,7.0,1
1704,Ge Nd Ti,90.0,2
1705,Ge Pr Ti,55.0,2
1706,Ca La Mn O Y,115.0,3
1707,Ag Sn Tb,13.0,1
1708,Ca Co O Pr,70.0,2
1709,Eu Ga Ge Sr,5.0,1
1710,Gd O Ti Zr,0.7,1
1711,Pt Yb Zn,1.35,1
1712,Ge Pr Si,45.0,1
1713,Cr Nd O Re Sr,528.0,1
1714,Ce Cu Nd O Ru Sr Y,49.0,1
1715,Al B Tm,3.3,1
1716,Eu Fe O Sr,120.0,1
1717,In Rh Sm,8.3,2
1718,Er In Rh,2.9,1
1719,Cd Pd Sm,25.0,1
1720,Cd Pd Tb,25.0,1
1721,Cd Er Pd,3.6,1
1722,Co Fe Mn P,293.0,2
1723,Cd Ho Rh,5.0,1
1724,Cd Co Ho,5.0,1
1725,Co Dy In,5.0,1
1726,Er K O W,0.48,1
1727,Fe Nb O Pb Ti,16.8,1
1728,O Sn Tb,0.87,1
1729,Co O Sr Y,300.0,2
1730,Ba Ca Cu Nd O Y,135.7,1
1731,As Cu O Sr Y,160.0,3
1732,Ce Mn O Sr,172.0,2
1733,Ba Mn O Ru,10.0,1
1734,Au Gd Mg,19.0,1
1735,Cr Li O Si,19.0,1
1736,La Ni O V,2.0,1
1737,Ga Mn Sn Zr,461.0,2
1738,C Fe Ga La,33.0,1
1739,Er Ga Mn Sn,98.0,5
1740,La Mn Ni O Sr,228.0,1
1741,As Co Fe Sr,120.0,2
1742,As F Fe Sr,175.0,1
1743,Fe Ge Mn Pr,362.0,10
1744,As Fe La O,137.0,3
1745,Eu Mn O Sr,100.0,10
1746,As Ce F Fe O,100.0,2
1747,Ca Fe Nd O,35.0,2
1748,Ca Ga La Mn O Sr,195.0,3
1749,Mn Nd O Sr Tb,200.0,2
1750,Cd Cu Dy,16.9,2
1751,Cr Ge Tb,9.1,2
1752,Cr Dy Ge,4.0,2
1753,Eu Pt Zn,15.0,1
1754,Au Eu Zn,19.0,1
1755,Al La Mn,200.0,1
1756,Co O Re,67.0,4
1757,B Cu O Sr,3.6,1
1758,Cr Fe Li O P,22.0,1
1759,H Na O Os,57.0,1
1760,Mn O S Sr,10.0,1
1761,Mn O Pb S Sr,10.0,1
1762,As Fe O Sm,4.8,2
1763,Ge Ho Si,22.0,7
1764,B Ce Nd,2.0,1
1765,Gd Ge Sb,60.0,2
1766,Ge Mn Te,45.0,1
1767,Ce O Ti V,30.0,1
1768,As Fe Na,50.0,3
1769,As Au Sm,12.4,1
1770,Pd Sb Tb,7.4,1
1771,Ca Fe La O Re,105.0,1
1772,La Mo O,655.0,5
1773,Pt Si Yb,0.5,1
1774,As Ce Ni O,7.3,1
1775,Co La O Rh,9.0,1
1776,Ca Mn O Ta,41.0,1
1777,Co Tb Te,52.0,3
1778,Co Ho Te,60.0,2
1779,Co Dy Te,26.0,1
1780,Co Er Te,30.0,2
1781,Fe Tb Te,36.0,1
1782,Ni Tb Te,55.0,4
1783,Fe Gd Te,54.0,1
1784,Ag Al Ce Si,8.8,1
1785,As Fe Gd O,128.0,3
1786,Cd Co N,27.0,1
1787,Cd N Ni,60.0,2
1788,Cd Co N Ni,35.0,1
1789,Er Ge Sn,3.5,1
1790,C Co O Sr,250.0,4
1791,Co H O P Te,4.0,1
1792,Cu Mn O Pr,70.0,2
1793,Sb Si Tb,66.0,1
1794,Ba H Li Mn O,250.0,2
1795,Ba K Mn O,300.0,1
1796,Ce Fe Si,87.0,2
1797,Er Ho Mn O,41.0,7
1798,Mn O Sm Y,24.0,3
1799,Ba Bi Fe O Ti,510.0,3
1800,As Fe O Sc Sr,121.9,1
1801,Dy Ge In,60.0,2
1802,Al Eu Zn,10.0,1
1803,Bi Ho Pd,18.0,1
1804,Ho Ru Sb,10.0,1
1805,Bi Fe Ho,24.0,4
1806,Ho Mn Te,50.0,1
1807,Ga Mn Sn Tb,282.0,3
1808,In Mn Sn Tb,310.0,1
1809,Dy Ga Mn Sn,253.0,1
1810,Dy In Mn Sn,263.0,1
1811,Cr La Sb,95.0,3
1812,Ce Cr Sb,48.0,3
1813,Cr Pr Sb,18.0,2
1814,Co Er Mo Si,104.0,1
1815,Cr Cu Sb Se,36.1,1
1816,Ba Ca Ni O Sm,20.0,1
1817,Pd Rh Si Tb,16.5,1
1818,As Co Eu Fe,120.0,2
1819,Ho Rh Sb,18.0,1
1820,Bi Dy Fe Mn,170.0,1
1821,As Co Mn Rh,97.0,1
1822,C Er Fe Si,163.0,3
1823,Co Er Mo V,260.0,1
1824,Al Dy Pd,17.0,2
1825,Fe Ge La Mn,306.0,3
1826,C Fe Si Tm,257.0,1
1827,Er Fe H Ti,45.0,3
1828,Fe Ho Mn Sn,185.0,1
1829,Fe H U,141.0,2
1830,In Mn Sc Sn,258.0,1
1831,Ca Cr O Sm,180.0,1
1832,Ca Cr Eu O,160.0,1
1833,Co Nd Y Zr,149.0,1
1834,In Lu Mn Sn,151.0,1
1835,In Mn Sn Y,308.0,2
1836,Dy Fe Gd Nb,163.0,1
1837,As Ba Fe K,103.0,2
1838,Ce Fe H Mn,63.0,1
1839,As Fe K,0.7,1
1840,O Sm V,200.0,3
1841,Ce Cu Ir O Sm Sr,120.0,2
1842,Co Mn O W,22.5,12
1843,Dy Ge Mn Pr,338.0,2
1844,Ba Mn Nd O Sr,10.0,1
1845,Hf La Mn O Sr,250.0,1
1846,B Er Fe Pr,167.0,5
1847,Ca Eu La Mn O Sr,100.0,7
1848,Bi Ca La Mn O,247.0,4
1849,Ca Ga La Mn O,70.0,1
1850,Mn Ni O Pr,126.0,1
1851,B Dy Fe O,20.0,1
1852,Ba O Sb Ti,50.0,2
1853,Ce Nd O Ti,45.0,1
1854,Co O Sc Sr,70.0,2
1855,Co Fe La Ti,250.0,1
1856,Ba Co Gd Nd O,220.0,1
1857,Al Ho Pd,16.0,1
1858,Al Pd Tb,22.0,2
1859,Fe O P Pb,31.8,3
1860,Gd In Pt,16.0,1
1861,Ca Cr Nd O,140.0,2
1862,Ca Cr Ho O,120.0,1
1863,Ca Cr O Y,90.0,1
1864,Ca Cr Dy O,120.0,1
1865,Mn O Sb Sr,65.0,1
1866,As Mn O Sr,75.0,1
1867,Ge Mn U,65.0,1
1868,Fe Ge Mn Nd,325.0,15
1869,Ce Cu Ge Mn,325.0,3
1870,Cu Ge Mn Pr,300.0,3
1871,Al Nd Ru,1.3,9
1872,Li O P V,2.5,1
1873,Ba O Sb Sn Ti,35.0,1
1874,B Er Fe Si,387.0,2
1875,B Er Fe Y,235.0,2
1876,B Fe H Nd Si,93.0,2
1877,Au Sb U,31.0,1
1878,Dmon0+ Fe Gd Y,110.0,1
1879,Cl Cu H O Zn,4.7,1
1880,Cr Fe O,35.0,1
1881,Cr O Pd,33.3,2
1882,Cu O Se,60.0,2
1883,Cr Ge Li O,5.2,1
1884,Cu O Ru Sr,32.0,2
1885,Co La O Pr Sr,146.0,1
1886,Ho Rh Ru Si,8.5,2
1887,As Co Nd O,19.0,5
1888,Cr Mn Nd O Sr,220.0,3
1889,Ca Cu Fe La O,15.0,1
1890,Dy Gd Ge Si,21.0,1
1891,Ca Co Fe O,555.0,3
1892,Er Rh Sn,0.345,1
1893,Cr Fe O Y,274.0,1
1894,As Ca F Fe,120.0,2
1895,Ca La Mn O Sr Tb,4.0,8
1896,Mn Sn Tb Ti,285.0,1
1897,Cm Cu O,25.0,1
1898,Cm Cu O Th,13.0,1
1899,In Pt Yb,3.1,5
1900,Bi La Mn O Sr,230.0,1
1901,Cr O Sc,68.6,1
1902,Co Na O Te,9.0,1
1903,Bi Fe O Pb Sr,100.0,1
1904,Ba Fe O Sc,160.0,1
1905,C,170.0,1
1906,Pr Sb V,2.0,1
1907,Cr Sb Sm,30.0,3
1908,Ce Pb,2.8,1
1909,Br Cs Ni,14.25,3
1910,Dy Fe Ge O,24.0,1
1911,Ca Co O Rh Sr,8.2,1
1912,Cl Ni O Te,23.0,2
1913,Ca Eu Mn Sb,24.5,1
1914,Ba Eu Mn Sb,26.0,1
1915,I Ni O Te,30.0,1
1916,Ce In Rh,1.73,1
1917,B Cr O Pb,13.0,2
1918,B Fe O Pb,280.0,2
1919,Fe Ge O Yb,5.0,1
1920,Fe Ge O Tm,6.0,1
1921,Br Ni O Te,28.0,1
1922,Eu Mn Sb Sr,26.0,1
1923,Eu Mn Sb Yb,26.0,1
1924,Co Mn O Sr,9.5,1
1925,Au Eu Sn,12.0,2
1926,Ag As Ce,4.8,1
1927,Eu Pd Si,10.0,1
1928,Al Ni Si Sm,17.0,1
1929,Pd Pr Si,5.0,3
1930,Ho Pd Si,2.5,4
1931,Nd Pd Si,2.4,3
1932,Dy Pd Si,5.7,2
1933,Cu Mn O Tb,100.0,1
1934,La O Ru,161.0,1
1935,Ba Fe O Tb,291.0,1
1936,Na O Rh,100.0,1
1937,Cu K O V,3.7,1
1938,Ba Co Eu O,368.0,7
1939,Ca Fe Ge Mn,177.0,1
1940,Cr La O Te,105.0,1
1941,Ho Ni Pb,7.0,3
1942,Cr Ge Nd,70.0,1
1943,Eu Ge Na Se,4.4,1
1944,Cd O Ru,100.0,2
1945,Ba Co O Sn,6.0,1
1946,Bi Ho Mn,84.0,4
1947,Bi Er Ho Mn,132.0,2
1948,Al Ni Pd Tb,23.0,2
1949,Co Gd In,34.0,2
1950,Cl H Ni O,7.258,3
1951,Fe S Si,30.0,1
1952,O P Ti,111.0,2
1953,Br Rb V,24.5,2
1954,B Br Co O,10.0,1
1955,Pd Si Tm,1.3,1
1956,Cu Gd Ge,1.72,1
1957,C Er Ru,16.0,1
1958,Mn Sm Sn,16.0,1
1959,D0+ Fe Ho Ti,135.0,1
1960,H Mn Sn,200.0,1
1961,Fe H Ho Ti,150.0,3
1962,Fe H Ho Mo,200.0,3
1963,Al H Ni Tb,24.0,1
1964,Cl Mn Tl,110.5,2
1965,Cu La O Ru Sr,35.5,1
1966,Bi Mn O P,6.0,1
1967,Gd Mg Pt,89.2,2
1968,Cr O Tm,14.4,2
1969,La Mn Mo O,100.0,1
1970,Fe La Mo O,110.0,1
1971,Co Mg O V,5.2,2
1972,Co Ni O V,9.5,2
1973,Fe O Pb V,120.0,2
1974,Ba Cu Fe O Tm,200.0,1
1975,Ba Er O Ru,10.0,2
1976,Cu O Rh Sr,6.0,1
1977,Eu Si Zn,13.0,1
1978,Pr Rh Sb,7.0,1
1979,Ba La O Ru,22.0,1
1980,Cr Mn Sn Tb,260.0,1
1981,Ga Ge Mn Yb,210.0,1
1982,Ga Mn Sn Tm,221.0,4
1983,Ge Mo Tb Ti,75.0,1
1984,Ga Ge Mn Sc,360.0,1
1985,Ir Np Sn,24.0,2
1986,Cu Na O P,18.0,1
1987,Ba Co Ir O,75.0,1
1988,B Fe Gd O,11.5,9
1989,B Fe Nd O,13.5,1
1990,As Ni Sm,7.0,2
1991,Ca La Mn Nd O,124.0,4
1992,Ba Bi O Ru,176.0,2
1993,Ho In Pt,8.0,1
1994,In Pt Tb,27.4,1
1995,Pr Rh Zn,5.0,3
1996,Cu O Pr Sn,35.0,1
1997,Cu Nd O Sn,110.0,1
1998,Al Ge Ni Sm,44.0,1
1999,Mn Ni O Pr Sr,78.0,1
2000,Mn Ni O Sm Sr,40.0,1
2001,Gd Mn Ni O Sr,10.0,1
2002,Mn Nd Ni O Sr,80.0,1
2003,Ba Gd Ni O,24.0,1
2004,Ge Np O,5.0,1
2005,La Mn O Re,90.0,1
2006,D0+ Mn Y,398.0,1
2007,H Mn Ni O,390.0,2
2008,Li Na Ni O,475.0,2
2009,La Mn O Ru Sr,283.0,5
2010,Ge Ir Yb,1.5,5
2011,Mn Ni O Ti,17.0,1
2012,Al Dy Si,47.5,4
2013,Ge Hf Mn,30.0,1
2014,Gd Mn Sn Tm,280.0,2
2015,Gd Li O Te,0.243,1
2016,Ca Cu Mn O Ti,100.0,1
2017,Al Fe Ga U,120.0,1
2018,Mn Na O Tb,38.5,2
2019,Gd Ge Pt,9.0,2
2020,Ho Mn O Tb,25.0,1
2021,Ca Fe Mn O,50.0,2
2022,Mn O Re,11.0,1
2023,Mn O W Zn,12.2,7
2024,Dy Mn O Y,17.0,4
2025,Co Rh Si Yb,0.9,2
2026,Fe Ga Np,78.0,3
2027,Ba Ca Fe O,270.0,3
2028,Mn O Tb Y,2.2,1
2029,Co O Te,26.0,5
2030,Ce Cu Nb O Pr Sr,56.0,4
2031,Nd Ni O,130.0,6
2032,Ir Na O Y,10.0,1
2033,Ba Co O Tm,105.0,1
2034,D0+ Er Fe Mn,8.0,1
2035,Na O Ru,32.0,1
2036,Co Fe Nd,420.0,2
2037,Co Pu Si,37.0,2
2038,Ni Pu Si,35.0,1
2039,Eu Mn O Sm,72.0,2
2040,Ca Cr Ho Mn O,45.0,1
2041,Gd Ir Si,11.76,6
2042,La Mn Nd O,100.0,1
2043,As Eu Li,9.2,2
2044,Eu Li Sb,6.7,2
2045,Bi Ca Mn O Sr,32.0,1
2046,Dy Er Mn Sn,330.0,2
2047,Ce Gd Ge Mn,342.0,4
2048,Co Mn Ni Sb,120.4,1
2049,Ni Pd Sn U,8.0,1
2050,Ge Mn Pr Y,343.0,5
2051,Co Sm Y,200.0,1
2052,Eu Lu Mn O,27.0,2
2053,Br Cu Nb O Sr,9.3,4
2054,Ir Sn Tb,4.9,1
2055,Dy Ir Sn,4.38,1
2056,Ho Ir Sn,2.48,1
2057,Er Ir Sn,2.2,1
2058,Ir Sn Tm,1.91,1
2059,Gd Ir Sn,9.2,2
2060,Dy Fe Mo Y,134.0,1
2061,Co Fe Nb Tb,309.0,1
2062,B C Dy Ni Pr,11.2,2
2063,Al C Fe U,141.0,3
2064,Bi Fe O Ti,403.0,2
2065,Ag Co La Mn O,200.0,4
2066,Ba Co Fe O,700.0,7
2067,Ho Mn O Y,49.5,6
2068,As Co Fe O Sm,22.0,2
2069,As Co O Sm,50.0,13
2070,Ni Pd Si U,108.0,4
2071,Ce Ge Ni Si,2.0,1
2072,Cr Cs I,6.8,1
2073,C Co Nd Si,50.0,1
2074,Cr Dy Ge Mn,95.0,1
2075,Ho Mn Si,19.0,1
2076,Fe La Mn O Sr,222.0,3
2077,Dy Ge Pd,4.0,1
2078,Mn N Nb O,40.0,1
2079,Pu Sb Y,24.0,1
2080,C Cr Ho,10.2,1
2081,D0+ Fe Ho Ta,118.0,1
2082,Ge Sm Ti,215.0,1
2083,Cu Ge Mn Nd,320.0,5
2084,Cu Ge Mn Sm,2.31,1
2085,Cu Dy Ge Mn,79.0,2
2086,Ce Fe Ge Mn,353.0,4
2087,Fe Ge Mn Tb,47.0,1
2088,Cu Ge Mn Y,0.22,1
2089,Cu Gd Ge Mn,97.0,2
2090,Cu Ge Mn Tb,222.0,3
2091,Cu Ge Ho Mn,2.36,1
2092,Fe Ge Mn Sm,345.0,6
2093,Fe Gd Ge Mn,96.0,2
2094,Dy Fe Te,86.0,2
2095,Cr K P S,19.0,1
2096,Cl Fe H K O,13.6,1
2097,Ba Nd O Ru,24.0,2
2098,Ba Cu Ge O Si,3.0,1
2099,Ga Ge Mn Tm,394.0,4
2100,Sb Tb Zr,29.0,1
2101,Eu Ga Ge,10.0,1
2102,Fe Ga Ge Tb,31.0,4
2103,Fe H Mn O P,3.1,1
2104,Cr Fe Mn,200.0,1
2105,Ca Ge Mn O,20.0,1
2106,Ba Na O Ru,50.0,2
2107,Eu O Re,12.0,1
2108,Br Fe O Te,11.0,4
2109,Ba Mn O W,9.0,1
2110,Co Dy O Sr,283.0,2
2111,Co Ho O Sr,298.0,2
2112,Co O Sr Tm,307.0,2
2113,Cu O Pr Ru Sr,20.0,1
2114,Cu Eu O Ru Sr,133.0,2
2115,Eu S Sn,4.0,1
2116,Lu Tb,192.0,2
2117,Gd Lu,212.0,2
2118,Al Pd Sm,12.0,3
2119,C Co Ni Tb,30.0,1
2120,Ca Fe Mn O Pr,225.0,2
2121,O V Zn,12.0,1
2122,Gd Ge Y,92.0,1
2123,Br Ca Cu Nb O,15.0,1
2124,Ca Mn O Sm Sr,120.0,2
2125,As Fe O Pr,14.0,4
2126,Ce H Ru Si,3.2,2
2127,Ce Pd Rh,0.6,1
2128,Br Co Rb,10.0,2
2129,Ca Co La O,600.0,5
2130,C Cu N,70.0,1
2131,Al C Yb,80.0,2
2132,Ba Fe O Y,45.0,1
2133,Eu Ga P,6.0,1
2134,Cd Pr Ru,13.0,1
2135,B Cu Ni O,9.0,1
2136,Ce H Sc Si,3.0,1
2137,Ce Ge H Sc,3.1,1
2138,Ce Mg Pt,3.6,1
2139,Au Er In Ni,3.7,1
2140,Cl Cu D0+ Mg O,3.5,1
2141,Cu Mn Nd O,40.0,1
2142,Ba Mn O Sb,167.0,2
2143,Mn S Sb Sm,6.0,1
2144,Fe La Li O,8.0,1
2145,Fe La Li O Rh,8.0,1
2146,Au In Yb,25.0,1
2147,Mn Na O V,24.0,1
2148,Co La P Pr,55.0,1
2149,Bi Ca Cr Mn O,308.0,4
2150,B Fe H O P,40.0,1
2151,B H Ni O P,40.0,1
2152,Cs Fe Mo O,10.0,1
2153,Cu Mg Ni Pr,3.3,1
2154,Cu Mg Ni Tb,23.0,3
2155,Eu Ga Sb,5.0,1
2156,Mn O P Sr,2.2,2
2157,Er Fe H Mn,20.0,2
2158,Er H Mn,11.0,2
2159,C Er Mn,15.0,2
2160,Fe Mn Mo O Sr,60.0,1
2161,Ge Mn Nd Tb,390.0,3
2162,Fe Mo Nd Tb,271.0,6
2163,Cr Ge Mn Pr,204.0,3
2164,Dy Ge Mn Nd,340.0,3
2165,Co Fe Tb V,418.0,2
2166,Cu Ni Tb,20.0,1
2167,Fe Mn O Pr,190.0,1
2168,Co Fe La Mo,260.0,2
2169,Ge Ho Mn Nd,339.0,2
2170,Cu La Mn O Sr,226.0,1
2171,Gd Li O Te Y,0.243,1
2172,Fe Ni P S,18.0,2
2173,Fe Ni Si Tb,444.0,1
2174,Co Ge Mn Pr,150.0,4
2175,Ca Co O Pr Y,64.0,1
2176,Al Cr La Mn O Sr,130.0,3
2177,Bi Cu Gd O,20.0,2
2178,Cu Dy Gd O,22.0,1
2179,Bi Ce Cu Gd O,13.0,2
2180,P Ru Tb,10.0,4
2181,As Np Se,147.0,4
2182,Ca Fe O,116.0,1
2183,Gd O Ru Sr,18.0,7
2184,Er O Sn,20.0,1
2185,Ge Ho Ni,8.0,1
2186,Ir Pr Si,23.7,3
2187,Cu Fe Mn O,90.0,3
2188,Ce Cu Gd O Ru Sr,130.0,11
2189,Co Mn O Pr Sr,160.0,2
2190,Ce La Rh Sn,0.8,1
2191,B Fe Gd Nd O,11.0,6
2192,As Ge Mn Zn,86.0,1
2193,Au In Ni Tb,20.0,1
2194,Br Cs D0+ Mn O,5.25,1
2195,Ca Mn Sn,240.0,1
2196,Ge Mn Sr,290.0,1
2197,D0+ Gd I,13.0,1
2198,Ba Mn O V,170.0,1
2199,Cu Ir O Sr,19.0,2
2200,C Gd I,25.0,1
2201,As Cd Eu,9.5,1
2202,Cd Eu Sb,7.8,1
2203,Br C Gd,24.0,1
2204,Ba Ir O,160.0,1
2205,O P Sr V Zn,2.65,1
2206,Co K O P,6.0,1
2207,Ba Eu Ni O,4.0,1
2208,Eu Ga Zn,24.0,1
2209,Cl Cu O Sr,40.0,1
2210,Bi Mn Sr,292.0,2
2211,Ca Fe Mn O Sr,12.0,1
2212,Cd Pd Yb,1.4,1
2213,Ce In N,6.5,1
2214,N O V,40.0,1
2215,Mg Pr Ru,13.0,1
2216,B Nd Pd,1.0,1
2217,B Ce Pd,0.5,1
2218,B Pd Pr,0.0,1
2219,B Pd Sm,2.0,1
2220,Bi Mn Nd O Sr,200.0,1
2221,Al Ru U,4.0,1
2222,B C Co Tb,3.7,2
2223,Al Gd Zn,11.2,2
2224,Fe Mn O Yb,239.0,2
2225,Ag Al Ge Pr,7.6,1
2226,Ag Al Ge Nd,5.1,1
2227,H Mn Nd Si,111.0,3
2228,Gd Ni Pd,135.0,1
2229,Bi Mn Sb Yb,112.0,1
2230,Li Mn O Sr,40.0,1
2231,Ir Sb Yb,8.1,2
2232,Au Eu Ge,3.5,1
2233,Ge Mn Sm Sn,130.0,1
2234,Ca Mn O V,111.0,1
2235,Ca Dy La Mn O,150.0,1
2236,Fe Mo Tb Y,218.0,2
2237,Ga Sm Zn,5.0,1
2238,Ce Gd In,18.0,1
2239,Co Fe Nd Tb,191.0,2
2240,Co Nb Sn V,9.0,1
2241,In Ir Sm,11.0,1
2242,Ca La Mn O Pr Sr,160.0,1
2243,Ba Mn O Sm,10.0,1
2244,Ho In Rh,10.4,1
2245,Cu Nb O Sr Y,27.0,1
2246,Ce Cu Gd O Pr Ru Sr,135.0,2
2247,La Mn Si Tb,220.0,3
2248,C Co Dy,13.8,2
2249,Cs F K Mn,7.0,1
2250,Al Gd H Ni,20.0,2
2251,Al H Ni Sm,38.0,2
2252,C Gd W,35.0,1
2253,Hf Mn Sn,65.0,1
2254,Mn Sn Zr,60.0,1
2255,Cd Cu Gd,13.0,1
2256,D0+ Fe Ho Nb,112.0,1
2257,Co Sn Y,10.0,1
2258,Co Pr Sn,3.0,1
2259,Al Co Fe Mn O,150.0,1
2260,O Pr Ti V,30.0,1
2261,B Pr Pt,5.0,1
2262,Bi Dy Mn,149.0,1
2263,Ga Ho Mn Sn,191.0,2
2264,Co Gd Te,180.0,1
2265,Cl Rb U,11.0,1
2266,Np Si,105.0,4
2267,Bi Fe Tb,75.0,2
2268,Ho In Mn Sn,188.0,1
2269,Eu In Rh,1.6,1
2270,Al Ce Ge Ni,200.0,1
2271,Ga O Pr Si,127.0,1
2272,C Fe N,1.85,1
2273,Ba Ir O Tb,2.0,1
2274,Fe Mn Nd Sn,139.0,1
2275,La Mn O Ti,22.0,2
2276,Pt Sm Sn,2.1,1
2277,Pr Pt Sn,7.0,1
2278,Ce Cu Eu O Ru Sn Sr,43.0,1
2279,Mn Pd,190.0,1
2280,Co H Ni O P,11.0,3
2281,B Fe Gd Y,500.0,1
2282,B Dy Fe Pr Tb,245.0,1
2283,Ca La Mn O V,190.0,1
2284,Fe Mg O V,3.0,1
2285,Fe Ge Sn Tb,42.0,3
2286,Fe Mn Tb,50.0,1
2287,Dy Fe Mn,311.0,3
2288,Ce In Mn,60.0,1
2289,Ga Np Rh,33.0,4
2290,Ga Ni Np,18.0,5
2291,B Nd Pt,10.0,1
2292,Co Ge Th U,60.0,1
2293,Co Si Th U,92.0,1
2294,Co Dy Y,267.0,3
2295,B Co Dy Fe Tb,200.0,1
2296,B Co Tb Y,380.0,4
2297,Co Ga Mn Ni,220.0,4
2298,Fe Ga Mn N,115.0,1
2299,B Co Ni Pr,633.0,3
2300,Co Nd Ti,480.0,1
2301,Ga Mn Si Y,7.0,1
2302,Al Fe Sm,85.0,1
2303,Ce Fe K Mo O,100.0,1
2304,Bi Fe O Pb Ti,370.0,1
2305,As Ba O Ti,200.0,2
2306,Ho La Mn O,140.0,2
2307,B Er Fe O,10.0,1
2308,Co Dy Ga Nd,350.0,1
2309,Al Co Dy Nd,317.0,2
2310,Ag Cu Pr,2.0,1
2311,Ce Er Fe,95.0,1
2312,C Ga Mn Ni,139.0,1
2313,Bi Mn O Pb Ti,21.0,2
2314,As Ba Co Fe,55.0,1
2315,Er Fe Nb Ni,97.0,1
2316,Dy Fe Nb Ni,245.0,2
2317,Mn Sn Tb V,308.0,1
2318,Al B Ce Ru,13.5,11
2319,B Ce Ga Ru,11.0,3
2320,Fe Mn Sm,140.0,1
2321,Er Fe W,45.0,2
2322,C Cs,30.0,1
2323,Co Mn O Pd,18.0,1
2324,Fe Pd Rh,345.0,9
2325,Ge Mn Nd Y,345.0,3
2326,Co Er Ni Si,45.0,1
2327,Fe Lu Mn,253.0,3
2328,Gd Mn Nd Si,51.0,2
2329,Al Au Ce H,3.0,1
2330,Mn Nd O Pr Sr,106.0,2
2331,Fe Ho Nd Ti,183.0,1
2332,Ca Cl Fe O Ta,125.0,2
2333,B C Er Fe Ni,2.1,1
2334,Co Mn Nd Si,45.0,2
2335,Al Ce Ga Pd,1.19,3
2336,Ba La Mn O Sb,14.1,1
2337,Bi Co Fe Tb,66.0,2
2338,Co Fe Ga O Zn,105.0,1
2339,Ce Cu Dy O Ru Sr,90.0,1
2340,Co Fe Pr Ti,220.0,1
2341,B C Nd Pt,1.5,1
2342,F K Mn Na,88.0,2
2343,Co Fe Se,125.0,1
2344,C Ga Ge Mn,190.0,1
2345,Cl Fe H Ni O,8.2,1
2346,Cl Co Fe H O,6.5,1
2347,Ba Fe Mg O Sr,390.0,2
2348,Al Ba Fe O Sr Zn,290.0,6
2349,Fe Gd Mn O,105.0,2
2350,In N Pr,5.5,1
2351,Ba Co Fe O Y,50.0,1
2352,Fe Ho Y,99.0,2
2353,Dy Ge Mn Sn,140.0,1
2354,Ge Ho Mn Sn,125.0,2
2355,Er Ge Mn Sn,140.0,1
2356,Ge Mn Sn Tm,230.0,3
2357,Fe Ge Ho Sn,13.0,2
2358,Fe Gd Ge Sn,42.7,1
2359,Dy Fe Ge Sn,21.0,2
2360,Er Fe Ge Sn,7.3,1
2361,Er Ge Mo Tb Ti,14.0,1
2362,Co Fe Nd Si,34.0,1
2363,Fe La Mn Si,305.0,2
2364,Nd Pt Sn,1.9,1
2365,Br Co O Te,27.2,2
