,phases,max Tc,n compositions
302,Ba Fe O,178.0,3
303,B Cu O,20.3,8
304,Gd N,24.2,1
305,B Ni Yb,4.0,3
306,N Sm,20.0,2
307,Ce Cu In,4.8,1
308,Ce Cu Si,8.0,7
309,Cl Fe,21.7,4
310,Co Cr S,222.0,1
311,Dy Gd,156.0,1
312,Co F Ni,70.0,1
313,Co Gd O,65.0,1
314,Gd Tb,230.3,1
315,Co Tm,45.0,8
316,I Pr,9.0,1
317,Co La O,500.0,12
318,Co Mn O,90.0,1
319,Co Nb O,1.95,1
320,Cr Fe S,461.0,2
321,Cu Dy In,22.0,2
322,Dy In,50.0,2
323,Cu Gd In,13.8,2
324,Ho In,32.5,2
325,Cu Ho O,7.4,2
326,Ho P,5.0,2
327,Cu In Tb,20.0,2
328,Cu In Yb,2.5,1
329,Cu Si Tb,38.0,13
330,Dy O V,13.0,1
331,Er Fe Ti,65.0,12
332,Fe Gd O,553.0,4
333,Fe Mn O,892.0,2
334,Fe Nb O,35.0,1
335,Fe Nd Ti,235.0,21
336,Fe O Zn,124.0,3
337,Gd Ge Si,339.0,21
338,Gd O V,10.0,4
339,Ge Ni O,11.46,5
340,Ho O V,36.0,1
341,La Ni O,640.0,3
342,Li O V,500.0,2
343,Na Ni O,3.0,1
344,Na O V,120.0,8
345,O Pr V,20.0,1
346,O Tb V,113.0,6
347,O Te V,3.28,2
348,O V Y,200.0,19
349,Pd Sn U,31.0,10
350,Pd U,7.8,7
351,Al Eu Fe,15.0,1
352,B Ce Y,2.7,1
353,Bi Ir O,1.84,2
354,Br Cs Mn,8.3,2
355,C Co Gd,14.0,1
356,Ce Cu Ni,5.0,1
357,Ce Ge La,4.8,1
358,C Gd Ni,14.0,1
359,Co Er H,212.0,1
360,Co Er Ti,155.0,4
361,Co O V,11.3,53
362,Cr Mg O,13.5,1
363,Fe I,7.3,4
364,Cs I Mn,9.28,5
365,Cu Li O,24.0,7
366,Cu O Yb,13.5,6
367,Dy Ge Ni,3.0,2
368,Dy Ge,5.2,1
369,Fe Mg O,76.0,1
370,Fe Mn Ti,25.0,1
371,Ge Ni Tb,11.5,7
372,Mn O W,13.5,25
373,Ni O V,9.42,28
374,Dy Er,45.0,2
375,Co Fe Si,37.8,1
376,Cu Fe O,610.0,17
377,Dy Fe Ti,251.0,24
378,Dy O Sr,5.0,1
379,Er O V,56.0,2
380,Fe Ga S,31.0,3
381,Fe Ge Yb,85.0,3
382,Fe Lu O,225.0,7
383,Fe Mn Ni,60.0,3
384,Fe O Ti,126.0,1
385,Fe O V,70.0,11
386,Ga Tm,12.5,4
387,Ge Ni Yb,1.82,2
388,La O V,141.0,3
