phases,av. probability,norm. score
Cl Ge Te,0.7478534729333333,0.2221617703120884
Cl In Sb,0.7477341163333333,0.204547910934198
Bi Cl Tl,0.7476651575999997,0.086420725492216
Cl Te U,0.7476600643666664,0.1005890541466902
Cl Sb Tl,0.7475857292333333,0.1320356615149757
Cl Tb Te,0.7475642966666666,0.0887688696116732
Bi Cl Rb,0.7473458254999997,0.0896035363883308
Cl Pm Te,0.7473243484666666,0.1020656220392537
Cl Pu Te,0.7473121406333327,0.1200681763550939
Br I W,0.7472838374666667,0.1186489207692807
Br Sn Te,0.7472467543,0.1509431239309097
Br Pb Te,0.7472455586999991,0.0946519217774838
Br C I,0.7472245988333334,0.1587617706053866
Br Ca Cl,0.7471915359000001,0.1518453153306446
Cl I Ti,0.7471772145666667,0.1283480318377933
Ac Cl Te,0.7471465281999996,0.1299654460322714
Cl Cs In,0.7470380790666661,0.1140088586259448
Cl Pa Te,0.7470195933666661,0.134640968746778
Cl P Pb,0.7469895829333333,0.130844257560291
Cl Ga Sn,0.7469509020333334,0.2040818963524577
Cl Np Te,0.7468683688333332,0.1286797991959346
Cl Ho Te,0.7468095578666664,0.0939523568683788
Br Sb Te,0.7467920458999997,0.1687086500795231
Br I La,0.7467849705666664,0.1271989163635976
Bi Cl P,0.7467325798333335,0.138380156751808
As Cl Tl,0.7466834405666668,0.1067236773841964
Bi Cl U,0.7466716219333328,0.0751389505713774
Bi Cl Th,0.7465943949666667,0.0646636976216443
Cl P Sb,0.7464267481666661,0.2262797744090282
Cl Rb Sb,0.7464217183999999,0.1873186658579372
Br I Zn,0.7464130293999999,0.1380486630054075
Cl I Mn,0.7463994336333328,0.1528197264051458
Cl Sm Te,0.7463632590666663,0.093913175257949
Bi Cl Pu,0.7463613754666664,0.0960195859592552
Cl Lu Te,0.7463566451333326,0.0832511296133459
Br I Ir,0.7463064514999999,0.1121336860789604
Cl Dy Te,0.7463014121666668,0.0921798502577003
Au Br I,0.7463007202666664,0.1250864599367588
Cl In Tl,0.7462753217999999,0.1095704754676569
Cl Eu Te,0.7462258028666667,0.087219537867246
Br I Ta,0.746191277633333,0.1000185955012671
Ac Bi Cl,0.7461877888333333,0.1065783533386681
As Cl In,0.7461773678666666,0.1758836822450003
As Br Te,0.7461618680333328,0.1478988080388462
Br Cl Pd,0.7460922474999997,0.1577019162262911
Br Cl Ti,0.7460383111333339,0.1341904774994116
Bi Cl Pa,0.7460123929666665,0.1115310695591451
Cl I Nb,0.7460095424999998,0.1318818771732958
Cl Tc Te,0.7459843445333331,0.1390611803751419
